Time	Displacement	R	U	Velocity	Acceleration	Variance	Label
0	0	1	0	0.1	1.249e-16	0	eu;20;10;0.15_
0.1	0.01	1	0	0.1	-2.79128e-16	0.0994987	eu;20;10;0.15_
0.2	0.02	1	0	0.1	4.6525e-17	0.140712	eu;20;10;0.15_
0.3	0.03	1	0	0.1	4.06586e-16	0.172337	eu;20;10;0.15_
0.4	0.04	1	0	0.1	7.78936e-17	0.198997	eu;20;10;0.15_
0.5	0.05	1	0	0.1	-8.05153e-16	0.222486	eu;20;10;0.15_
0.6	0.06	1	0	0.1	2.85508e-16	0.243721	eu;20;10;0.15_
0.7	0.07	1	0	0.1	3.29179e-16	0.263249	eu;20;10;0.15_
0.8	0.08	1	0	0.1	-9.46032e-16	0.281425	eu;20;10;0.15_
0.9	0.09	1	0	0.1	1.01438e-15	0.298496	eu;20;10;0.15_
1	0.1	1	0	0.1	-7.48006e-16	0.314643	eu;20;10;0.15_
1.1	0.11	1	0	0.1	-7.19172e-16	0.33	eu;20;10;0.15_
1.2	0.12	1	0	0.1	4.95264e-16	0.344674	eu;20;10;0.15_
1.3	0.13	1	0	0.1	4.86943e-17	0.358748	eu;20;10;0.15_
1.4	0.14	1	0	0.1	1.93814e-15	0.37229	eu;20;10;0.15_
1.5	0.15	1	0	0.1	-2.38795e-15	0.385357	eu;20;10;0.15_
1.6	0.16	1	0	0.1	2.59849e-15	0.397995	eu;20;10;0.15_
1.7	0.17	1	0	0.1	-1.51866e-15	0.410244	eu;20;10;0.15_
1.8	0.18	1	0	0.1	1.23727e-15	0.422137	eu;20;10;0.15_
1.9	0.19	1	0	0.1	-2.32131e-15	0.433705	eu;20;10;0.15_
2	0.2	1	0	0.1	1.32488e-15	0.444972	eu;20;10;0.15_
2.1	0.21	1	0	0.1	-1.77488e-15	0.455961	eu;20;10;0.15_
2.2	0.22	1	0	0.1	2.29539e-15	0.46669	eu;20;10;0.15_
2.3	0.23	1	0	0.1	-1.53995e-15	0.477179	eu;20;10;0.15_
2.4	0.24	1	0	0.1	4.53905e-16	0.487442	eu;20;10;0.15_
2.5	0.25	1	0	0.1	-6.71558e-16	0.497494	eu;20;10;0.15_
2.6	0.26	1	0	0.1	1.91242e-15	0.507346	eu;20;10;0.15_
2.7	0.27	1	0	0.1	1.54766e-16	0.517011	eu;20;10;0.15_
2.8	0.28	1	0	0.1	-1.26453e-15	0.526498	eu;20;10;0.15_
2.9	0.29	1	0	0.1	-1.63451e-17	0.535817	eu;20;10;0.15_
3	0.3	1	0	0.1	1.6475e-16	0.544977	eu;20;10;0.15_
3.1	0.31	1	0	0.1	7.82168e-17	0.553986	eu;20;10;0.15_
3.2	0.32	1	0	0.1	-1.82671e-15	0.56285	eu;20;10;0.15_
3.3	0.33	1	0	0.1	2.54854e-15	0.571577	eu;20;10;0.15_
3.4	0.34	1	0	0.1	-1.99633e-15	0.580172	eu;20;10;0.15_
3.5	0.35	1	0	0.1	9.98578e-17	0.588643	eu;20;10;0.15_
3.6	0.36	1	0	0.1	1.93435e-15	0.596992	eu;20;10;0.15_
