"V1"	"V2"	"V3"	"V4"
"1"	0	0	1	"flat"
"2"	1	0.0983	4	"flat"
"3"	2	0.1997	6	"flat"
"4"	3	0.3027	6	"flat"
"5"	4	0.4029	6	"flat"
"6"	5	0.5037	8	"flat"
"7"	6	0.6039	8	"flat"
"8"	7	0.7017	9	"flat"
"9"	8	0.8031	10	"flat"
"10"	9	0.9032	10	"flat"
"11"	10	1.0064	10	"flat"
"12"	11	1.1002	10	"flat"
"13"	12	1.1986	10	"flat"
"14"	13	1.2966	10	"flat"
"15"	14	1.3986	10	"flat"
"16"	15	1.4922	10	"flat"
"17"	16	1.5908	10	"flat"
"18"	17	1.6882	10	"flat"
"19"	18	1.7889	10	"flat"
"20"	19	1.8909	10	"flat"
"21"	20	1.9911	10	"flat"
"22"	21	2.0973	10	"flat"
"23"	22	2.1978	10	"flat"
"24"	23	2.2949	10	"flat"
"25"	24	2.3986	10	"flat"
"26"	25	2.5013	10	"flat"
"27"	26	2.6075	10	"flat"
"28"	27	2.7076	10	"flat"
"29"	28	2.8078	10	"flat"
"30"	29	2.9071	10	"flat"
"31"	30	3.0075	10	"flat"
"32"	31	3.1075	10	"flat"
"33"	32	3.2075	10	"flat"
"34"	33	3.3064	10	"flat"
"35"	34	3.4067	10	"flat"
"36"	35	3.5102	10	"flat"
"37"	36	3.6118	10	"flat"
"38"	37	3.7047	10	"flat"
"39"	38	3.7959	10	"flat"
"40"	39	3.8832	10	"flat"
"41"	40	3.9777	10	"flat"
"42"	41	4.0761	10	"flat"
"43"	42	4.1752	10	"flat"
"44"	43	4.2699	10	"flat"
"45"	44	4.3671	10	"flat"
"46"	45	4.4652	10	"flat"
"47"	46	4.5531	10	"flat"
"48"	47	4.6484	10	"flat"
"49"	48	4.7361	10	"flat"
"50"	49	4.837	10	"flat"
"51"	50	4.9348	10	"flat"
"52"	51	5.0342	10	"flat"
"53"	52	5.1257	10	"flat"
"54"	53	5.2186	10	"flat"
"55"	54	5.3012	10	"flat"
"56"	55	5.4019	10	"flat"
"57"	56	5.4825	10	"flat"
"58"	57	5.5603	10	"flat"
"59"	58	5.6472	10	"flat"
"60"	59	5.7205	10	"flat"
"61"	60	5.8015	10	"flat"
"62"	61	5.8855	10	"flat"
"63"	62	5.9775	10	"flat"
"64"	63	6.0605	10	"flat"
"65"	64	6.1324	10	"flat"
"66"	65	6.222	10	"flat"
"67"	66	6.3125	10	"flat"
"68"	67	6.3881	10	"flat"
"69"	68	6.4641	10	"flat"
"70"	69	6.5395	10	"flat"
"71"	70	6.6138	10	"flat"
"72"	71	6.6959	10	"flat"
"73"	72	6.7691	10	"flat"
"74"	73	6.8409	10	"flat"
"75"	74	6.9022	10	"flat"
"76"	75	6.9658	10	"flat"
"77"	76	7.0165	10	"flat"
"78"	77	7.0853	10	"flat"
"79"	78	7.1543	10	"flat"
"80"	79	7.2221	10	"flat"
"81"	80	7.2847	10	"flat"
"82"	81	7.3425	10	"flat"
"83"	82	7.3953	10	"flat"
"84"	83	7.451	10	"flat"
"85"	84	7.5104	10	"flat"
"86"	85	7.5648	10	"flat"
"87"	86	7.6122	10	"flat"
"88"	87	7.6603	10	"flat"
"89"	88	7.7098	10	"flat"
"90"	89	7.7482	10	"flat"
"91"	90	7.7929	10	"flat"
"92"	91	7.845	10	"flat"
"93"	92	7.8913	10	"flat"
"94"	93	7.9356	10	"flat"
"95"	94	7.9678	10	"flat"
"96"	95	8.0116	10	"flat"
"97"	96	8.0543	10	"flat"
"98"	97	8.0936	10	"flat"
"99"	98	8.1317	10	"flat"
"100"	99	8.1637	10	"flat"
"101"	100	8.199	10	"flat"
"102"	101	8.2387	10	"flat"
"103"	102	8.2639	10	"flat"
"104"	103	8.2924	10	"flat"
"105"	104	8.3234	10	"flat"
"106"	105	8.3508	10	"flat"
"107"	106	8.383	10	"flat"
"108"	107	8.4123	10	"flat"
"109"	108	8.4389	10	"flat"
"110"	109	8.4628	10	"flat"
"111"	110	8.4852	10	"flat"
"112"	111	8.5101	10	"flat"
"113"	112	8.533	10	"flat"
"114"	113	8.5537	9	"flat"
"115"	114	8.5769	9	"flat"
"116"	115	8.5999	9	"flat"
"117"	116	8.6157	9	"flat"
"118"	117	8.6311	9	"flat"
"119"	118	8.647	9	"flat"
"120"	119	8.6585	9	"flat"
"121"	120	8.6744	9	"flat"
"122"	121	8.6916	9	"flat"
"123"	122	8.7065	9	"flat"
"124"	123	8.7201	9	"flat"
"125"	124	8.7338	8	"flat"
"126"	125	8.7461	8	"flat"
"127"	126	8.7556	8	"flat"
"128"	127	8.7642	8	"flat"
"129"	128	8.7761	8	"flat"
"130"	129	8.7865	8	"flat"
"131"	130	8.7963	8	"flat"
"132"	131	8.8056	8	"flat"
"133"	132	8.8149	8	"flat"
"134"	133	8.8222	8	"flat"
"135"	134	8.8318	8	"flat"
"136"	135	8.8424	8	"flat"
"137"	136	8.8518	8	"flat"
"138"	137	8.86	8	"flat"
"139"	138	8.8648	8	"flat"
"140"	139	8.869	8	"flat"
"141"	140	8.8757	8	"flat"
"142"	141	8.8816	8	"flat"
"143"	142	8.891	8	"flat"
"144"	143	8.8961	8	"flat"
"145"	144	8.8992	7	"flat"
"146"	145	8.9054	7	"flat"
"147"	146	8.9095	7	"flat"
"148"	147	8.9118	7	"flat"
"149"	148	8.9161	7	"flat"
"150"	149	8.919	7	"flat"
"151"	150	8.9233	7	"flat"
"152"	151	8.9274	7	"flat"
"153"	152	8.9318	7	"flat"
"154"	153	8.9356	7	"flat"
"155"	154	8.9387	7	"flat"
"156"	155	8.9424	7	"flat"
"157"	156	8.9464	7	"flat"
"158"	157	8.9503	7	"flat"
"159"	158	8.9537	7	"flat"
"160"	159	8.9562	7	"flat"
"161"	160	8.9587	7	"flat"
"162"	161	8.9622	7	"flat"
"163"	162	8.964	7	"flat"
"164"	163	8.9655	7	"flat"
"165"	164	8.9685	7	"flat"
"166"	165	8.9706	7	"flat"
"167"	166	8.9731	7	"flat"
"168"	167	8.9752	7	"flat"
"169"	168	8.9763	7	"flat"
"170"	169	8.9779	7	"flat"
"171"	170	8.9792	7	"flat"
"172"	171	8.9794	7	"flat"
"173"	172	8.9808	7	"flat"
"174"	173	8.9818	7	"flat"
