"Time"	"Displacement"	"Bins"	"Mod"	"Velocity"
"1"	0	0	1	"r2"	NA
"2"	1	0.0981	4	"r2"	0.0981
"3"	2	0.1925	5	"r2"	0.0944
"4"	3	0.278	6	"r2"	0.0855
"5"	4	0.3536	6	"r2"	0.0756
"6"	5	0.4219	6	"r2"	0.0683
"7"	6	0.4861	6	"r2"	0.0642
"8"	7	0.5459	7	"r2"	0.0598000000000001
"9"	8	0.5955	7	"r2"	0.0496
"10"	9	0.6442	8	"r2"	0.0487
"11"	10	0.6899	8	"r2"	0.0457
"12"	11	0.7304	9	"r2"	0.0405000000000001
"13"	12	0.7747	9	"r2"	0.0443
"14"	13	0.8207	9	"r2"	0.0459999999999999
"15"	14	0.8665	9	"r2"	0.0458000000000001
"16"	15	0.9144	10	"r2"	0.0478999999999999
"17"	16	0.9593	10	"r2"	0.0449000000000001
"18"	17	1.0033	10	"r2"	0.044
"19"	18	1.0589	10	"r2"	0.0555999999999999
"20"	19	1.1081	10	"r2"	0.0492000000000001
"21"	20	1.1636	10	"r2"	0.0554999999999999
"22"	21	1.2241	10	"r2"	0.0605
"23"	22	1.2873	10	"r2"	0.0632000000000001
"24"	23	1.3415	10	"r2"	0.0541999999999998
"25"	24	1.4076	10	"r2"	0.0661
"26"	25	1.4804	10	"r2"	0.0728
"27"	26	1.5521	10	"r2"	0.0717000000000001
"28"	27	1.6267	10	"r2"	0.0746
"29"	28	1.7108	10	"r2"	0.0841000000000001
"30"	29	1.7996	10	"r2"	0.0888
"31"	30	1.889	10	"r2"	0.0893999999999999
"32"	31	1.9864	10	"r2"	0.0973999999999999
"33"	32	2.0883	10	"r2"	0.1019
"34"	33	2.1967	10	"r2"	0.1084
"35"	34	2.3146	10	"r2"	0.1179
"36"	35	2.4363	10	"r2"	0.1217
"37"	36	2.5529	10	"r2"	0.1166
"38"	37	2.6906	10	"r2"	0.1377
"39"	38	2.8226	10	"r2"	0.132
"40"	39	2.9546	10	"r2"	0.132
"41"	40	3.0932	10	"r2"	0.1386
"42"	41	3.2292	10	"r2"	0.136
"43"	42	3.3653	10	"r2"	0.1361
"44"	43	3.5031	10	"r2"	0.1378
"45"	44	3.6657	10	"r2"	0.1626
"46"	45	3.8166	10	"r2"	0.1509
"47"	46	3.9715	10	"r2"	0.1549
"48"	47	4.1291	10	"r2"	0.1576
"49"	48	4.281	10	"r2"	0.151899999999999
"50"	49	4.4316	10	"r2"	0.150600000000001
"51"	50	4.5875	10	"r2"	0.1559
"52"	51	4.7287	10	"r2"	0.1412
"53"	52	4.8625	10	"r2"	0.1338
"54"	53	5.0141	10	"r2"	0.1516
"55"	54	5.1518	10	"r2"	0.1377
"56"	55	5.2942	10	"r2"	0.1424
"57"	56	5.4355	10	"r2"	0.1413
"58"	57	5.5701	10	"r2"	0.1346
"59"	58	5.7182	10	"r2"	0.1481
"60"	59	5.8465	10	"r2"	0.128299999999999
"61"	60	5.9634	10	"r2"	0.1169
"62"	61	6.0811	10	"r2"	0.1177
"63"	62	6.2112	10	"r2"	0.1301
"64"	63	6.3076	10	"r2"	0.0964
"65"	64	6.4186	10	"r2"	0.111
"66"	65	6.5231	10	"r2"	0.104500000000001
"67"	66	6.6442	10	"r2"	0.121099999999999
"68"	67	6.7627	10	"r2"	0.1185
"69"	68	6.8608	10	"r2"	0.0981000000000005
"70"	69	6.9486	10	"r2"	0.0877999999999997
"71"	70	7.0342	10	"r2"	0.0856000000000003
"72"	71	7.1147	10	"r2"	0.0804999999999998
"73"	72	7.1961	10	"r2"	0.0814000000000004
"74"	73	7.2767	10	"r2"	0.0805999999999996
"75"	74	7.3513	10	"r2"	0.0746000000000002
"76"	75	7.4215	10	"r2"	0.0701999999999998
"77"	76	7.4943	10	"r2"	0.0728
"78"	77	7.5575	10	"r2"	0.0632000000000001
"79"	78	7.6239	10	"r2"	0.0663999999999998
"80"	79	7.6837	10	"r2"	0.0598000000000001
"81"	80	7.7486	10	"r2"	0.0648999999999997
"82"	81	7.8058	10	"r2"	0.0571999999999999
"83"	82	7.8612	10	"r2"	0.0554000000000006
"84"	83	7.9031	10	"r2"	0.0419
"85"	84	7.9447	10	"r2"	0.0415999999999999
"86"	85	7.9967	10	"r2"	0.0519999999999996
"87"	86	8.0379	10	"r2"	0.0412000000000008
"88"	87	8.0776	10	"r2"	0.0396999999999998
"89"	88	8.1195	10	"r2"	0.0419
"90"	89	8.1593	10	"r2"	0.0397999999999996
"91"	90	8.2052	10	"r2"	0.0458999999999996
"92"	91	8.2514	10	"r2"	0.0462000000000007
"93"	92	8.2889	10	"r2"	0.0374999999999996
"94"	93	8.3213	10	"r2"	0.0324000000000009
"95"	94	8.3549	10	"r2"	0.0335999999999999
"96"	95	8.3863	10	"r2"	0.0313999999999997
"97"	96	8.4078	10	"r2"	0.0214999999999996
"98"	97	8.4313	10	"r2"	0.0235000000000003
"99"	98	8.4599	10	"r2"	0.0285999999999991
"100"	99	8.4864	10	"r2"	0.0265000000000004
"101"	100	8.5169	10	"r2"	0.0305
"102"	101	8.5434	10	"r2"	0.0265000000000004
"103"	102	8.5718	10	"r2"	0.0283999999999995
"104"	103	8.5936	10	"r2"	0.0218000000000007
"105"	104	8.6155	10	"r2"	0.0219000000000005
"106"	105	8.6304	10	"r2"	0.014899999999999
"107"	106	8.6498	10	"r2"	0.019400000000001
"108"	107	8.6703	10	"r2"	0.0204999999999984
"109"	108	8.6859	10	"r2"	0.0156000000000009
"110"	109	8.7068	10	"r2"	0.0208999999999993
"111"	110	8.7257	10	"r2"	0.0189000000000004
"112"	111	8.7374	10	"r2"	0.0116999999999994
"113"	112	8.7503	10	"r2"	0.0129000000000001
"114"	113	8.7626	10	"r2"	0.0123000000000015
"115"	114	8.7757	10	"r2"	0.0130999999999997
"116"	115	8.7884	10	"r2"	0.0126999999999988
"117"	116	8.798	10	"r2"	0.00960000000000072
"118"	117	8.8078	10	"r2"	0.00980000000000025
"119"	118	8.8175	10	"r2"	0.00970000000000049
"120"	119	8.8284	10	"r2"	0.0108999999999995
"121"	120	8.8355	10	"r2"	0.00709999999999944
"122"	121	8.843	10	"r2"	0.00750000000000028
"123"	122	8.8528	10	"r2"	0.00980000000000025
"124"	123	8.8607	10	"r2"	0.00789999999999935
"125"	124	8.869	10	"r2"	0.0083000000000002
"126"	125	8.8766	10	"r2"	0.00760000000000005
"127"	126	8.8829	10	"r2"	0.00629999999999953
"128"	127	8.887	10	"r2"	0.0041000000000011
"129"	128	8.8933	10	"r2"	0.00629999999999953
"130"	129	8.8975	10	"r2"	0.00420000000000087
"131"	130	8.9028	10	"r2"	0.00529999999999831
"132"	131	8.9087	10	"r2"	0.00590000000000046
"133"	132	8.9164	10	"r2"	0.00769999999999982
"134"	133	8.9208	10	"r2"	0.0044000000000004
"135"	134	8.9242	10	"r2"	0.00340000000000096
"136"	135	8.9288	10	"r2"	0.00459999999999994
"137"	136	8.9334	10	"r2"	0.00459999999999994
"138"	137	8.9385	10	"r2"	0.00509999999999877
"139"	138	8.9419	10	"r2"	0.00340000000000096
