"V1"	"V2"	"V3"	"V4"
"1"	0	0	1	"r5"
"2"	1	0.1002	5	"r5"
"3"	2	0.2015	5	"r5"
"4"	3	0.302	6	"r5"
"5"	4	0.4011	6	"r5"
"6"	5	0.5	7	"r5"
"7"	6	0.5987	8	"r5"
"8"	7	0.6987	7	"r5"
"9"	8	0.7972	8	"r5"
"10"	9	0.8941	8	"r5"
"11"	10	0.9839	9	"r5"
"12"	11	1.0812	9	"r5"
"13"	12	1.1697	10	"r5"
"14"	13	1.2587	10	"r5"
"15"	14	1.3515	10	"r5"
"16"	15	1.4431	10	"r5"
"17"	16	1.5362	10	"r5"
"18"	17	1.6246	10	"r5"
"19"	18	1.7072	10	"r5"
"20"	19	1.7915	10	"r5"
"21"	20	1.8666	10	"r5"
"22"	21	1.9426	10	"r5"
"23"	22	2.0176	10	"r5"
"24"	23	2.0943	10	"r5"
"25"	24	2.1668	10	"r5"
"26"	25	2.2353	10	"r5"
"27"	26	2.3035	10	"r5"
"28"	27	2.3759	10	"r5"
"29"	28	2.4359	10	"r5"
"30"	29	2.4958	10	"r5"
"31"	30	2.5581	10	"r5"
"32"	31	2.6129	10	"r5"
"33"	32	2.6663	10	"r5"
"34"	33	2.7178	10	"r5"
"35"	34	2.7733	10	"r5"
"36"	35	2.8275	10	"r5"
"37"	36	2.8842	10	"r5"
"38"	37	2.9373	10	"r5"
"39"	38	2.9886	10	"r5"
"40"	39	3.0406	10	"r5"
"41"	40	3.0836	10	"r5"
"42"	41	3.1359	10	"r5"
"43"	42	3.1807	10	"r5"
"44"	43	3.2324	10	"r5"
"45"	44	3.2767	10	"r5"
"46"	45	3.3288	10	"r5"
"47"	46	3.3792	10	"r5"
"48"	47	3.4268	10	"r5"
"49"	48	3.4744	10	"r5"
"50"	49	3.5255	10	"r5"
"51"	50	3.5825	10	"r5"
"52"	51	3.6425	10	"r5"
"53"	52	3.6844	10	"r5"
"54"	53	3.7459	10	"r5"
"55"	54	3.7958	10	"r5"
"56"	55	3.8617	10	"r5"
"57"	56	3.9166	10	"r5"
"58"	57	3.9763	10	"r5"
"59"	58	4.0338	10	"r5"
"60"	59	4.0932	10	"r5"
"61"	60	4.1537	10	"r5"
"62"	61	4.2174	10	"r5"
"63"	62	4.2839	10	"r5"
"64"	63	4.3499	10	"r5"
"65"	64	4.4326	10	"r5"
"66"	65	4.5061	10	"r5"
"67"	66	4.5713	10	"r5"
"68"	67	4.6441	10	"r5"
"69"	68	4.714	10	"r5"
"70"	69	4.7891	10	"r5"
"71"	70	4.8655	10	"r5"
"72"	71	4.94	10	"r5"
"73"	72	5.0202	10	"r5"
"74"	73	5.1019	10	"r5"
"75"	74	5.182	10	"r5"
"76"	75	5.2671	10	"r5"
"77"	76	5.3538	10	"r5"
"78"	77	5.4461	10	"r5"
"79"	78	5.5261	10	"r5"
"80"	79	5.626	10	"r5"
"81"	80	5.7191	10	"r5"
"82"	81	5.7954	10	"r5"
"83"	82	5.885	10	"r5"
"84"	83	5.9839	10	"r5"
"85"	84	6.0825	10	"r5"
"86"	85	6.1775	10	"r5"
"87"	86	6.2565	10	"r5"
"88"	87	6.3415	10	"r5"
"89"	88	6.425	10	"r5"
"90"	89	6.506	10	"r5"
"91"	90	6.6081	10	"r5"
"92"	91	6.694	10	"r5"
"93"	92	6.7783	10	"r5"
"94"	93	6.8665	10	"r5"
"95"	94	6.9429	10	"r5"
"96"	95	7.0315	10	"r5"
"97"	96	7.1066	10	"r5"
"98"	97	7.179	10	"r5"
"99"	98	7.2571	10	"r5"
"100"	99	7.3417	10	"r5"
"101"	100	7.4145	10	"r5"
"102"	101	7.4824	10	"r5"
"103"	102	7.5622	10	"r5"
"104"	103	7.6316	10	"r5"
"105"	104	7.6989	10	"r5"
"106"	105	7.7656	10	"r5"
"107"	106	7.8304	10	"r5"
"108"	107	7.8976	10	"r5"
"109"	108	7.9524	10	"r5"
"110"	109	8.0071	10	"r5"
"111"	110	8.0649	10	"r5"
"112"	111	8.1172	10	"r5"
"113"	112	8.1631	10	"r5"
"114"	113	8.2139	10	"r5"
"115"	114	8.2531	10	"r5"
"116"	115	8.2865	10	"r5"
"117"	116	8.329	10	"r5"
"118"	117	8.3677	10	"r5"
"119"	118	8.398	10	"r5"
"120"	119	8.4255	10	"r5"
"121"	120	8.4594	10	"r5"
"122"	121	8.489	10	"r5"
"123"	122	8.5296	10	"r5"
"124"	123	8.5567	10	"r5"
"125"	124	8.5839	10	"r5"
"126"	125	8.6131	10	"r5"
"127"	126	8.639	9	"r5"
"128"	127	8.6631	9	"r5"
"129"	128	8.6896	9	"r5"
"130"	129	8.7033	9	"r5"
"131"	130	8.7213	9	"r5"
"132"	131	8.7415	9	"r5"
"133"	132	8.7586	9	"r5"
"134"	133	8.7765	9	"r5"
"135"	134	8.7915	9	"r5"
"136"	135	8.8077	9	"r5"
"137"	136	8.8193	9	"r5"
"138"	137	8.8323	9	"r5"
"139"	138	8.8407	9	"r5"
"140"	139	8.8502	9	"r5"
"141"	140	8.8585	9	"r5"
"142"	141	8.8656	9	"r5"
"143"	142	8.8768	9	"r5"
"144"	143	8.8838	9	"r5"
"145"	144	8.89	9	"r5"
"146"	145	8.8978	9	"r5"
"147"	146	8.905	9	"r5"
"148"	147	8.9124	9	"r5"
"149"	148	8.9194	9	"r5"
"150"	149	8.9255	8	"r5"
"151"	150	8.932	8	"r5"
"152"	151	8.9363	8	"r5"
"153"	152	8.9424	8	"r5"
"154"	153	8.9457	8	"r5"
"155"	154	8.9484	8	"r5"
"156"	155	8.9499	8	"r5"
"157"	156	8.9524	8	"r5"
"158"	157	8.9559	8	"r5"
"159"	158	8.9598	8	"r5"
"160"	159	8.962	8	"r5"
"161"	160	8.9641	8	"r5"
"162"	161	8.9664	8	"r5"
"163"	162	8.9685	8	"r5"
"164"	163	8.9712	8	"r5"
"165"	164	8.9733	8	"r5"
"166"	165	8.9754	8	"r5"
"167"	166	8.9768	7	"r5"
"168"	167	8.9782	7	"r5"
"169"	168	8.9792	7	"r5"
"170"	169	8.9795	7	"r5"
