Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	3712388518298864
1	0.189	6	0.449754	0.189	3712388518298864
2	0.395	7	0.670056	0.206	3712388518298864
3	0.618	7	0.864336	0.223	3712388518298864
4	0.85	8	1.03851	0.232	3712388518298864
5	1.085	9	1.20448	0.235	3712388518298864
6	1.342	10	1.38782	0.257	3712388518298864
7	1.617	12	1.54736	0.275	3712388518298864
8	1.924	12	1.7243	0.307	3712388518298864
9	2.219	13	1.86897	0.295	3712388518298864
10	2.511	14	2.02259	0.292	3712388518298864
11	2.847	15	2.1965	0.336	3712388518298864
12	3.162	17	2.37671	0.315	3712388518298864
13	3.524	18	2.54586	0.362	3712388518298864
14	3.904	19	2.72411	0.38	3712388518298864
15	4.271	19	2.86977	0.367	3712388518298864
16	4.658	21	3.04352	0.387	3712388518298864
17	5.048	22	3.19511	0.39	3712388518298864
18	5.561	21	3.36189	0.513	3712388518298864
19	6.001	22	3.5361	0.44	3712388518298864
20	6.451	23	3.67527	0.45	3712388518298864
21	6.87	24	3.82362	0.419	3712388518298864
22	7.317	28	3.96995	0.447	3712388518298864
23	7.724	28	4.10424	0.407	3712388518298864
24	8.185	29	4.23188	0.461	3712388518298864
25	8.652	30	4.35797	0.467	3712388518298864
26	9.115	29	4.46562	0.463	3712388518298864
27	9.651	31	4.62679	0.536	3712388518298864
28	10.175	31	4.75167	0.524	3712388518298864
29	10.677	32	4.89537	0.502	3712388518298864
30	11.17	32	4.97002	0.493	3712388518298864
31	11.679	33	5.063	0.509	3712388518298864
32	12.218	35	5.2202	0.539	3712388518298864
33	12.739	35	5.27559	0.521	3712388518298864
34	13.307	34	5.39451	0.568	3712388518298864
35	13.829	35	5.47446	0.522	3712388518298864
36	14.475	35	5.5936	0.646	3712388518298864
37	15.055	37	5.72302	0.58	3712388518298864
38	15.689	37	5.85366	0.634	3712388518298864
39	16.305	41	5.95256	0.616	3712388518298864
40	16.843	42	6.03443	0.538	3712388518298864
41	17.454	43	6.06802	0.611	3712388518298864
42	18.1	45	6.19427	0.646	3712388518298864
43	18.696	47	6.36299	0.596	3712388518298864
44	19.219	47	6.40445	0.523	3712388518298864
45	19.84	44	6.50511	0.621	3712388518298864
46	20.479	45	6.53839	0.639	3712388518298864
47	21.113	47	6.59767	0.634	3712388518298864
48	21.823	49	6.71451	0.71	3712388518298864
49	22.516	50	6.81357	0.693	3712388518298864
50	23.148	51	6.89261	0.632	3712388518298864
51	23.755	52	7.02872	0.607	3712388518298864
52	24.412	52	7.06543	0.657	3712388518298864
53	24.971	53	7.09212	0.559	3712388518298864
54	25.518	54	7.13699	0.547	3712388518298864
55	26.194	55	7.27677	0.676	3712388518298864
56	26.953	56	7.37616	0.759	3712388518298864
57	27.624	56	7.49744	0.671	3712388518298864
58	28.29	59	7.48611	0.666	3712388518298864
59	28.99	59	7.59302	0.7	3712388518298864
60	29.805	58	7.7344	0.815	3712388518298864
61	30.574	59	7.79131	0.769	3712388518298864
62	31.178	59	7.87276	0.604	3712388518298864
63	31.891	60	7.96003	0.713	3712388518298864
64	32.527	60	7.95615	0.636	3712388518298864
65	33.184	60	8.01468	0.657	3712388518298864
66	33.839	60	8.08078	0.655	3712388518298864
67	34.586	61	8.2514	0.747	3712388518298864
68	35.279	62	8.37223	0.693	3712388518298864
69	35.885	64	8.39701	0.606	3712388518298864
70	36.569	63	8.43115	0.684	3712388518298864
71	37.269	64	8.56666	0.7	3712388518298864
72	37.942	63	8.68479	0.673	3712388518298864
73	38.648	65	8.74226	0.706	3712388518298864
74	39.401	66	8.7606	0.753	3712388518298864
75	40.095	67	8.85082	0.694	3712388518298864
76	40.785	69	9.01564	0.69	3712388518298864
77	41.43	69	9.05324	0.645	3712388518298864
78	42.118	69	9.18325	0.688	3712388518298864
79	42.734	70	9.19789	0.616	3712388518298864
80	43.539	69	9.27704	0.805	3712388518298864
81	44.192	67	9.30801	0.653	3712388518298864
82	44.835	65	9.42347	0.643	3712388518298864
83	45.485	66	9.52784	0.65	3712388518298864
84	46.112	67	9.56716	0.627	3712388518298864
85	46.825	67	9.5897	0.713	3712388518298864
86	47.454	67	9.62678	0.629	3712388518298864
87	48.207	71	9.70959	0.753	3712388518298864
88	48.924	72	9.78944	0.717	3712388518298864
89	49.536	71	9.82867	0.612	3712388518298864
90	50.164	71	9.96324	0.628	3712388518298864
91	50.873	72	10.0114	0.709	3712388518298864
92	51.612	74	10.1196	0.739	3712388518298864
93	52.102	73	10.1015	0.49	3712388518298864
94	52.813	74	10.1444	0.711	3712388518298864
95	53.625	73	10.2101	0.812	3712388518298864
96	54.266	70	10.2276	0.641	3712388518298864
97	54.987	74	10.2994	0.721	3712388518298864
98	55.759	75	10.3306	0.772	3712388518298864
99	56.603	78	10.5342	0.844	3712388518298864
100	57.362	78	10.6694	0.759	3712388518298864
101	58.055	77	10.6397	0.693	3712388518298864
102	58.767	77	10.6933	0.712	3712388518298864
103	59.614	77	10.6685	0.847	3712388518298864
104	60.375	77	10.7143	0.761	3712388518298864
105	61.257	76	10.8216	0.882	3712388518298864
106	62.093	76	10.8256	0.836	3712388518298864
107	62.883	73	10.8811	0.79	3712388518298864
108	63.518	73	10.8515	0.635	3712388518298864
109	64.225	71	10.8707	0.707	3712388518298864
110	65.128	69	10.8355	0.903	3712388518298864
111	65.968	69	10.9893	0.84	3712388518298864
112	66.765	68	10.9746	0.797	3712388518298864
113	67.504	67	10.9666	0.739	3712388518298864
114	68.337	67	11.0935	0.833	3712388518298864
115	69.07	67	11.142	0.733	3712388518298864
116	69.827	67	11.1956	0.757	3712388518298864
117	70.713	66	11.0883	0.886	3712388518298864
118	71.503	65	11.2079	0.79	3712388518298864
119	72.331	65	11.253	0.828	3712388518298864
120	72.988	63	11.172	0.657	3712388518298864
121	73.63	63	11.1304	0.642	3712388518298864
122	74.396	62	11.0764	0.766	3712388518298864
123	75.014	62	11.0638	0.618	3712388518298864
124	75.956	61	10.9773	0.942	3712388518298864
125	76.602	61	10.9359	0.646	3712388518298864
126	77.324	61	10.9093	0.722	3712388518298864
127	78.127	59	10.7646	0.803	3712388518298864
128	78.823	59	10.7252	0.696	3712388518298864
129	79.383	59	10.7375	0.56	3712388518298864
130	80.09	59	10.6643	0.707	3712388518298864
131	80.736	56	10.5249	0.646	3712388518298864
132	81.392	56	10.4908	0.656	3712388518298864
133	82.005	55	10.3852	0.613	3712388518298864
134	82.508	54	10.2694	0.503	3712388518298864
135	83.03	54	10.1366	0.522	3712388518298864
136	83.621	54	10.0772	0.591	3712388518298864
137	84.165	53	9.96187	0.544	3712388518298864
138	84.602	53	9.79396	0.437	3712388518298864
139	85.013	52	9.70422	0.411	3712388518298864
140	85.541	52	9.58386	0.528	3712388518298864
141	85.864	50	9.47821	0.323	3712388518298864
142	86.274	50	9.2972	0.41	3712388518298864
143	86.647	50	9.13868	0.373	3712388518298864
144	87.01	50	8.93403	0.363	3712388518298864
145	87.528	47	8.66835	0.518	3712388518298864
146	87.928	47	8.4878	0.4	3712388518298864
147	88.234	47	8.27504	0.306	3712388518298864
148	88.506	47	8.15205	0.272	3712388518298864
149	88.863	45	7.92914	0.357	3712388518298864
150	89.237	45	7.75286	0.374	3712388518298864
151	89.692	45	7.56004	0.455	3712388518298864
152	90.037	45	7.37575	0.345	3712388518298864
153	90.374	45	7.1891	0.337	3712388518298864
154	90.711	44	6.97585	0.337	3712388518298864
