Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	3767780823707108
1	0.191	6	0.455543	0.191	3767780823707108
2	0.395	7	0.679687	0.204	3767780823707108
3	0.606	7	0.862997	0.211	3767780823707108
4	0.832	8	1.03768	0.226	3767780823707108
5	1.07	9	1.19921	0.238	3767780823707108
6	1.333	10	1.37953	0.263	3767780823707108
7	1.587	11	1.521	0.254	3767780823707108
8	1.885	12	1.69256	0.298	3767780823707108
9	2.183	13	1.86642	0.298	3767780823707108
10	2.459	13	1.99457	0.276	3767780823707108
11	2.772	14	2.17417	0.313	3767780823707108
12	3.119	15	2.36111	0.347	3767780823707108
13	3.49	19	2.56162	0.371	3767780823707108
14	3.879	19	2.7255	0.389	3767780823707108
15	4.3	20	2.91204	0.421	3767780823707108
16	4.7	21	3.06855	0.4	3767780823707108
17	5.128	21	3.19822	0.428	3767780823707108
18	5.493	21	3.36169	0.365	3767780823707108
19	5.931	22	3.53882	0.438	3767780823707108
20	6.391	24	3.69014	0.46	3767780823707108
21	6.864	25	3.86879	0.473	3767780823707108
22	7.317	24	4.00868	0.453	3767780823707108
23	7.808	26	4.17434	0.491	3767780823707108
24	8.327	27	4.33694	0.519	3767780823707108
25	8.772	27	4.47359	0.445	3767780823707108
26	9.398	29	4.63169	0.626	3767780823707108
27	9.879	29	4.82404	0.481	3767780823707108
28	10.492	30	4.97322	0.613	3767780823707108
29	11.017	32	5.09193	0.525	3767780823707108
30	11.589	32	5.2326	0.572	3767780823707108
31	12.071	33	5.37233	0.482	3767780823707108
32	12.647	34	5.47744	0.576	3767780823707108
33	13.18	35	5.56818	0.533	3767780823707108
34	13.751	35	5.70237	0.571	3767780823707108
35	14.316	36	5.82522	0.565	3767780823707108
36	14.887	36	5.95451	0.571	3767780823707108
37	15.404	37	6.06208	0.517	3767780823707108
38	15.97	38	6.18709	0.566	3767780823707108
39	16.563	39	6.33033	0.593	3767780823707108
40	17.133	40	6.48454	0.57	3767780823707108
41	17.676	40	6.58149	0.543	3767780823707108
42	18.244	42	6.68203	0.568	3767780823707108
43	18.855	44	6.72354	0.611	3767780823707108
44	19.401	45	6.79273	0.546	3767780823707108
45	19.97	45	6.86157	0.569	3767780823707108
46	20.629	47	7.00131	0.659	3767780823707108
47	21.252	47	7.06219	0.623	3767780823707108
48	21.871	49	7.05155	0.619	3767780823707108
49	22.626	50	7.1804	0.755	3767780823707108
50	23.218	50	7.25083	0.592	3767780823707108
51	23.83	50	7.29322	0.612	3767780823707108
52	24.404	49	7.37081	0.574	3767780823707108
53	25.045	50	7.42536	0.641	3767780823707108
54	25.721	51	7.50661	0.676	3767780823707108
55	26.257	52	7.64244	0.536	3767780823707108
56	26.968	53	7.6625	0.711	3767780823707108
57	27.591	54	7.73173	0.623	3767780823707108
58	28.332	55	7.83127	0.741	3767780823707108
59	28.921	54	7.91844	0.589	3767780823707108
60	29.639	57	7.95749	0.718	3767780823707108
61	30.359	57	8.01187	0.72	3767780823707108
62	31.04	57	8.15355	0.681	3767780823707108
63	31.753	60	8.29952	0.713	3767780823707108
64	32.38	60	8.38478	0.627	3767780823707108
65	33.065	62	8.3688	0.685	3767780823707108
66	33.834	63	8.52141	0.769	3767780823707108
67	34.559	63	8.56455	0.725	3767780823707108
68	35.217	62	8.59715	0.658	3767780823707108
69	35.97	63	8.70977	0.753	3767780823707108
70	36.64	64	8.7878	0.67	3767780823707108
71	37.406	65	8.86985	0.766	3767780823707108
72	38.16	66	8.91697	0.754	3767780823707108
73	38.925	65	9.04751	0.765	3767780823707108
74	39.627	66	9.09994	0.702	3767780823707108
75	40.411	68	9.20364	0.784	3767780823707108
76	41.012	72	9.21427	0.601	3767780823707108
77	41.673	73	9.31869	0.661	3767780823707108
78	42.386	74	9.32899	0.713	3767780823707108
79	43.11	75	9.52239	0.724	3767780823707108
80	43.861	73	9.57239	0.751	3767780823707108
81	44.559	73	9.63787	0.698	3767780823707108
82	45.273	75	9.74825	0.714	3767780823707108
83	46.016	74	9.84595	0.743	3767780823707108
84	46.648	76	9.95581	0.632	3767780823707108
85	47.352	76	10.104	0.704	3767780823707108
86	48.082	78	10.1844	0.73	3767780823707108
87	48.85	78	10.2368	0.768	3767780823707108
88	49.687	81	10.2707	0.837	3767780823707108
89	50.485	81	10.4778	0.798	3767780823707108
90	51.17	82	10.5587	0.685	3767780823707108
91	51.88	82	10.6217	0.71	3767780823707108
92	52.707	81	10.7007	0.827	3767780823707108
93	53.345	81	10.9015	0.638	3767780823707108
94	53.958	82	11.1359	0.613	3767780823707108
95	54.577	81	11.0826	0.619	3767780823707108
96	55.216	82	11.1852	0.639	3767780823707108
97	56.011	82	11.2943	0.795	3767780823707108
98	56.634	82	11.2639	0.623	3767780823707108
99	57.193	80	11.3032	0.559	3767780823707108
100	57.956	80	11.498	0.763	3767780823707108
101	58.737	80	11.5581	0.781	3767780823707108
102	59.335	79	11.5788	0.598	3767780823707108
103	59.98	79	11.5948	0.645	3767780823707108
104	60.633	77	11.6338	0.653	3767780823707108
105	61.428	78	11.6921	0.795	3767780823707108
106	62.155	77	11.7471	0.727	3767780823707108
107	62.916	76	11.7102	0.761	3767780823707108
108	63.563	76	11.6028	0.647	3767780823707108
109	64.426	74	11.6222	0.863	3767780823707108
110	64.953	74	11.6265	0.527	3767780823707108
111	65.697	73	11.6399	0.744	3767780823707108
112	66.447	71	11.7193	0.75	3767780823707108
113	67.149	70	11.6608	0.702	3767780823707108
114	67.935	68	11.7174	0.786	3767780823707108
115	68.628	67	11.744	0.693	3767780823707108
116	69.429	64	11.7798	0.801	3767780823707108
117	70.168	64	11.7364	0.739	3767780823707108
118	70.865	63	11.7977	0.697	3767780823707108
119	71.688	62	11.7426	0.823	3767780823707108
120	72.327	62	11.6838	0.639	3767780823707108
121	72.973	61	11.5567	0.646	3767780823707108
122	73.617	61	11.5123	0.644	3767780823707108
123	74.386	61	11.5427	0.769	3767780823707108
124	75.166	60	11.4291	0.78	3767780823707108
125	75.814	59	11.2922	0.648	3767780823707108
126	76.603	58	11.2298	0.789	3767780823707108
127	77.357	58	11.1187	0.754	3767780823707108
128	77.894	60	11.0636	0.537	3767780823707108
129	78.745	58	10.9302	0.851	3767780823707108
130	79.482	56	10.8281	0.737	3767780823707108
131	80.076	54	10.761	0.594	3767780823707108
132	80.789	54	10.7055	0.713	3767780823707108
133	81.486	53	10.5087	0.697	3767780823707108
134	82.32	53	10.3517	0.834	3767780823707108
135	82.819	52	10.2936	0.499	3767780823707108
136	83.412	51	10.1773	0.593	3767780823707108
137	83.864	51	10.1146	0.452	3767780823707108
138	84.422	49	9.82288	0.558	3767780823707108
139	84.914	47	9.71744	0.492	3767780823707108
140	85.305	47	9.60687	0.391	3767780823707108
141	85.68	46	9.49245	0.375	3767780823707108
142	86.052	46	9.39022	0.372	3767780823707108
143	86.382	46	9.21195	0.33	3767780823707108
144	86.792	46	9.10866	0.41	3767780823707108
145	87.19	46	8.94851	0.398	3767780823707108
146	87.566	45	8.82721	0.376	3767780823707108
147	87.903	44	8.7528	0.337	3767780823707108
148	88.359	44	8.66176	0.456	3767780823707108
149	88.703	44	8.48391	0.344	3767780823707108
150	89.037	44	8.26914	0.334	3767780823707108
151	89.299	44	8.1516	0.262	3767780823707108
152	89.578	43	8.01174	0.279	3767780823707108
153	89.833	43	7.86893	0.255	3767780823707108
154	90.037	43	7.76071	0.204	3767780823707108
155	90.332	42	7.60814	0.295	3767780823707108
156	90.533	39	7.52183	0.201	3767780823707108
157	90.758	39	7.48508	0.225	3767780823707108
158	90.992	39	7.44593	0.234	3767780823707108
159	91.111	39	7.47326	0.119	3767780823707108
160	91.234	38	7.4117	0.123	3767780823707108
161	91.401	38	7.2716	0.167	3767780823707108
162	91.459	38	7.23432	0.058	3767780823707108
163	91.527	37	7.19842	0.068	3767780823707108
164	91.732	37	7.06669	0.205	3767780823707108
165	91.884	37	6.97421	0.152	3767780823707108
166	92.005	36	6.866	0.121	3767780823707108
167	92.144	36	6.807	0.139	3767780823707108
168	92.35	35	6.6648	0.206	3767780823707108
169	92.563	35	6.52748	0.213	3767780823707108
170	92.79	35	6.38027	0.227	3767780823707108
171	93.071	35	6.18166	0.281	3767780823707108
172	93.302	34	6.03679	0.231	3767780823707108
173	93.465	34	5.92054	0.163	3767780823707108
174	93.605	34	5.8402	0.14	3767780823707108
175	93.775	33	5.64503	0.17	3767780823707108
176	93.934	33	5.52962	0.159	3767780823707108
177	94.107	33	5.3956	0.173	3767780823707108
178	94.323	31	5.27785	0.216	3767780823707108
179	94.566	31	5.15855	0.243	3767780823707108
180	94.726	29	5.00129	0.16	3767780823707108
181	94.87	29	4.90888	0.144	3767780823707108
182	95.063	29	4.85696	0.193	3767780823707108
183	95.275	28	4.66319	0.212	3767780823707108
184	95.423	28	4.63833	0.148	3767780823707108
185	95.612	27	4.46032	0.189	3767780823707108
186	95.746	27	4.3648	0.134	3767780823707108
187	95.877	26	4.25674	0.131	3767780823707108
188	96.058	25	4.0669	0.181	3767780823707108
189	96.181	25	3.88873	0.123	3767780823707108
190	96.305	25	3.89679	0.124	3767780823707108
191	96.445	24	3.63221	0.14	3767780823707108
192	96.565	22	3.53918	0.12	3767780823707108
193	96.682	22	3.41348	0.117	3767780823707108
194	96.799	22	3.26827	0.117	3767780823707108
195	96.947	22	3.21779	0.148	3767780823707108
196	97.082	20	3.0223	0.135	3767780823707108
197	97.184	20	2.91978	0.102	3767780823707108
198	97.265	21	2.87642	0.081	3767780823707108
199	97.336	20	2.79591	0.071	3767780823707108
200	97.415	18	2.63719	0.079	3767780823707108
201	97.482	18	2.5787	0.067	3767780823707108
202	97.587	18	2.44754	0.105	3767780823707108
203	97.679	18	2.36685	0.092	3767780823707108
204	97.757	18	2.31213	0.078	3767780823707108
205	97.815	18	2.28993	0.058	3767780823707108
206	97.879	17	2.17494	0.064	3767780823707108
207	97.934	16	2.06171	0.055	3767780823707108
208	97.991	15	1.96034	0.057	3767780823707108
209	98.039	16	1.94537	0.048	3767780823707108
210	98.076	16	1.98399	0.037	3767780823707108
211	98.119	16	1.95086	0.043	3767780823707108
212	98.148	15	1.96038	0.029	3767780823707108
213	98.19	14	1.81546	0.042	3767780823707108
214	98.226	15	1.82399	0.036	3767780823707108
215	98.257	13	1.74927	0.031	3767780823707108
216	98.297	11	1.53551	0.04	3767780823707108
217	98.331	11	1.55513	0.034	3767780823707108
218	98.365	11	1.51848	0.034	3767780823707108
219	98.387	11	1.5054	0.022	3767780823707108
220	98.417	11	1.38351	0.03	3767780823707108
221	98.446	11	1.48023	0.029	3767780823707108
222	98.472	11	1.39614	0.026	3767780823707108
223	98.508	9	1.20081	0.036	3767780823707108
224	98.53	9	1.28261	0.022	3767780823707108
225	98.551	9	1.39047	0.021	3767780823707108
226	98.582	9	1.18839	0.031	3767780823707108
227	98.596	8	1.32393	0.014	3767780823707108
228	98.622	8	1.14809	0.026	3767780823707108
229	98.639	8	1.12769	0.017	3767780823707108
230	98.659	8	1.16005	0.02	3767780823707108
231	98.682	7	1.06671	0.023	3767780823707108
232	98.691	7	1.00126	0.009	3767780823707108
233	98.711	7	1.01266	0.02	3767780823707108
234	98.726	7	0.917019	0.015	3767780823707108
235	98.745	6	0.883162	0.019	3767780823707108
236	98.759	6	0.975151	0.014	3767780823707108
237	98.772	6	0.982352	0.013	3767780823707108
238	98.786	6	0.929088	0.014	3767780823707108
239	98.8	6	0.772658	0.014	3767780823707108
240	98.809	6	0.824936	0.009	3767780823707108
241	98.82	6	0.852995	0.011	3767780823707108
242	98.832	5	0.804224	0.012	3767780823707108
243	98.84	5	0.912907	0.008	3767780823707108
244	98.849	5	0.777302	0.009	3767780823707108
245	98.857	5	0.717322	0.008	3767780823707108
246	98.863	5	0.804507	0.006	3767780823707108
247	98.868	5	0.74537	0.005	3767780823707108
248	98.872	5	0.82135	0.004	3767780823707108
249	98.88	5	0.838212	0.008	3767780823707108
250	98.886	5	0.687025	0.006	3767780823707108
251	98.891	5	0.707191	0.005	3767780823707108
252	98.896	5	0.689336	0.005	3767780823707108
253	98.899	4	0.642494	0.003	3767780823707108
254	98.901	4	0.717774	0.002	3767780823707108
255	98.905	4	0.72317	0.004	3767780823707108
256	98.909	4	0.711139	0.004	3767780823707108
257	98.913	4	0.703158	0.004	3767780823707108
258	98.917	4	0.571061	0.004	3767780823707108
259	98.92	4	0.628967	0.003	3767780823707108
260	98.921	4	0.747502	0.001	3767780823707108
261	98.923	4	0.704323	0.002	3767780823707108
262	98.927	4	0.697618	0.004	3767780823707108
263	98.928	4	0.672916	0.001	3767780823707108
264	98.931	4	0.571173	0.003	3767780823707108
265	98.931	4	0.735689	0	3767780823707108
266	98.934	4	0.607161	0.003	3767780823707108
267	98.934	4	0.738	0	3767780823707108
268	98.933	4	0.827352	-0.001	3767780823707108
269	98.934	4	0.746756	0.001	3767780823707108
270	98.938	4	0.592584	0.004	3767780823707108
271	98.939	4	0.73026	0.001	3767780823707108
272	98.94	4	0.720694	0.001	3767780823707108
273	98.943	4	0.570746	0.003	3767780823707108
274	98.944	4	0.64565	0.001	3767780823707108
275	98.946	4	0.532056	0.002	3767780823707108
276	98.946	4	0.673115	0	3767780823707108
277	98.949	4	0.511272	0.003	3767780823707108
278	98.95	4	0.559017	0.001	3767780823707108
279	98.95	4	0.749333	0	3767780823707108
280	98.951	4	0.731163	0.001	3767780823707108
281	98.951	4	0.684543	0	3767780823707108
282	98.953	4	0.617083	0.002	3767780823707108
283	98.953	4	0.7381	0	3767780823707108
284	98.954	4	0.529985	0.001	3767780823707108
285	98.956	4	0.321036	0.002	3767780823707108
286	98.956	4	0.547781	0	3767780823707108
287	98.956	4	0.661864	0	3767780823707108
288	98.957	4	0.629405	0.001	3767780823707108
289	98.957	4	0.73563	0	3767780823707108
290	98.96	4	0.450999	0.003	3767780823707108
291	98.959	4	0.601929	-0.001	3767780823707108
292	98.959	4	0.653696	0	3767780823707108
293	98.96	4	0.583438	0.001	3767780823707108
294	98.96	4	0.728972	0	3767780823707108
295	98.962	4	0.59963	0.002	3767780823707108
296	98.963	4	0.592985	0.001	3767780823707108
297	98.963	4	0.713884	0	3767780823707108
298	98.964	4	0.619438	0.001	3767780823707108
299	98.965	4	0.526094	0.001	3767780823707108
300	98.965	4	0.67437	0	3767780823707108
301	98.966	4	0.663207	0.001	3767780823707108
302	98.967	4	0.419417	0.001	3767780823707108
303	98.967	4	0.497907	0	3767780823707108
304	98.967	4	0.548554	0	3767780823707108
305	98.967	4	0.647233	0	3767780823707108
306	98.969	4	0.409926	0.002	3767780823707108
307	98.969	3	0.504023	0	3767780823707108
308	98.969	3	0.534826	0	3767780823707108
309	98.97	3	0.527352	0.001	3767780823707108
310	98.971	3	0.398947	0.001	3767780823707108
311	98.971	3	0.48079	0	3767780823707108
312	98.972	3	0.279671	0.001	3767780823707108
313	98.971	3	0.648968	-0.001	3767780823707108
314	98.972	3	0.658191	0.001	3767780823707108
315	98.974	3	0.418717	0.002	3767780823707108
316	98.974	3	0.448691	0	3767780823707108
317	98.974	3	0.582515	0	3767780823707108
318	98.976	3	0.383958	0.002	3767780823707108
319	98.975	3	0.552607	-0.001	3767780823707108
320	98.976	3	0.338266	0.001	3767780823707108
321	98.975	3	0.630377	-0.001	3767780823707108
322	98.976	3	0.48931	0.001	3767780823707108
323	98.975	3	0.630377	-0.001	3767780823707108
324	98.977	3	0.398084	0.002	3767780823707108
325	98.976	3	0.624038	-0.001	3767780823707108
326	98.976	3	0.575694	0	3767780823707108
327	98.977	3	0.488335	0.001	3767780823707108
328	98.976	3	0.649942	-0.001	3767780823707108
329	98.977	3	0.53242	0.001	3767780823707108
330	98.977	3	0.664433	0	3767780823707108
331	98.978	3	0.602093	0.001	3767780823707108
332	98.979	3	0.572328	0.001	3767780823707108
333	98.979	3	0.621739	0	3767780823707108
334	98.98	3	0.427317	0.001	3767780823707108
335	98.981	3	0.409437	0.001	3767780823707108
336	98.981	3	0.509548	0	3767780823707108
337	98.982	2	0.250352	0.001	3767780823707108
338	98.981	2	0.477115	-0.001	3767780823707108
339	98.981	2	0.582786	0	3767780823707108
340	98.983	2	0.33869	0.002	3767780823707108
341	98.983	2	0.285851	0	3767780823707108
342	98.982	2	0.603884	-0.001	3767780823707108
343	98.984	2	0.326717	0.002	3767780823707108
344	98.984	2	0.383072	0	3767780823707108
345	98.983	2	0.581129	-0.001	3767780823707108
