Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	496398819188463
1	0.1	9	0.640312	0.1	496398819188463
2	0.22	10	0.775629	0.12	496398819188463
3	0.36	10	0.922171	0.14	496398819188463
4	0.58	10	1.3541	0.22	496398819188463
5	0.72	10	1.42534	0.14	496398819188463
6	0.89	10	1.58364	0.17	496398819188463
7	1.4	10	2.28692	0.51	496398819188463
8	1.58	10	2.37563	0.18	496398819188463
9	2.12	10	2.82588	0.54	496398819188463
10	2.42	10	2.96877	0.3	496398819188463
11	2.9	10	3.20156	0.48	496398819188463
12	3.17	10	3.21576	0.27	496398819188463
13	3.53	10	3.37774	0.36	496398819188463
14	3.92	10	3.48333	0.39	496398819188463
15	4.15	10	3.50393	0.23	496398819188463
16	4.38	10	3.49079	0.23	496398819188463
17	4.65	10	3.5025	0.27	496398819188463
18	4.96	10	3.48546	0.31	496398819188463
19	5.18	10	3.48103	0.22	496398819188463
20	5.48	10	3.46693	0.3	496398819188463
21	5.67	10	3.42653	0.19	496398819188463
22	5.87	10	3.37537	0.2	496398819188463
23	6.09	10	3.30785	0.22	496398819188463
24	6.32	10	3.23382	0.23	496398819188463
25	6.45	10	3.1808	0.13	496398819188463
26	6.56	10	3.17276	0.11	496398819188463
27	6.73	10	3.05403	0.17	496398819188463
28	6.85	10	3.0459	0.12	496398819188463
29	6.98	10	3.00326	0.13	496398819188463
30	7.13	10	2.89708	0.15	496398819188463
31	7.2	10	2.87228	0.07	496398819188463
32	7.29	10	2.82593	0.09	496398819188463
33	7.39	10	2.77271	0.1	496398819188463
34	7.46	10	2.72551	0.07	496398819188463
35	7.52	10	2.70363	0.06	496398819188463
36	7.62	10	2.61067	0.1	496398819188463
37	7.69	10	2.55027	0.07	496398819188463
38	7.73	10	2.51935	0.04	496398819188463
39	7.8	10	2.45764	0.07	496398819188463
40	7.87	10	2.3923	0.07	496398819188463
41	7.95	10	2.3103	0.08	496398819188463
42	8.03	10	2.21339	0.08	496398819188463
43	8.13	10	2.0768	0.1	496398819188463
44	8.16	10	2.06262	0.03	496398819188463
45	8.17	10	2.06908	0.01	496398819188463
46	8.16	10	2.12236	-0.01	496398819188463
47	8.18	10	2.01186	0.02	496398819188463
48	8.17	10	2.05939	-0.01	496398819188463
49	8.2	10	2.05426	0.03	496398819188463
50	8.23	10	1.97411	0.03	496398819188463
51	8.26	10	1.88213	0.03	496398819188463
52	8.28	10	1.91092	0.02	496398819188463
53	8.35	10	1.78255	0.07	496398819188463
54	8.39	10	1.67866	0.04	496398819188463
55	8.42	10	1.598	0.03	496398819188463
56	8.44	10	1.66625	0.02	496398819188463
57	8.46	10	1.66084	0.02	496398819188463
58	8.49	10	1.57477	0.03	496398819188463
59	8.51	10	1.55881	0.02	496398819188463
60	8.52	10	1.60611	0.01	496398819188463
61	8.56	10	1.50213	0.04	496398819188463
62	8.57	10	1.51496	0.01	496398819188463
63	8.6	10	1.45258	0.03	496398819188463
64	8.64	10	1.3268	0.04	496398819188463
65	8.67	10	1.24944	0.03	496398819188463
66	8.66	10	1.33581	-0.01	496398819188463
67	8.68	10	1.31057	0.02	496398819188463
68	8.7	10	1.23693	0.02	496398819188463
69	8.7	10	1.28841	0	496398819188463
70	8.71	10	1.26329	0.01	496398819188463
71	8.73	10	1.18621	0.02	496398819188463
72	8.73	10	1.23171	0	496398819188463
73	8.74	10	1.23386	0.01	496398819188463
74	8.77	10	1.09868	0.03	496398819188463
