Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	1093480131402113
1	0.97	11	1.73756	0.97	1093480131402113
2	1.9	13	1.73205	0.93	1093480131402113
3	2.87	14	2.21429	0.97	1093480131402113
4	3.83	15	2.38351	0.96	1093480131402113
5	4.79	17	2.54871	0.96	1093480131402113
6	5.62	18	2.65812	0.83	1093480131402113
7	6.42	19	2.67275	0.8	1093480131402113
8	7.29	21	3.04564	0.87	1093480131402113
9	8.1	21	3.30606	0.81	1093480131402113
10	8.75	23	3.26458	0.65	1093480131402113
11	9.54	22	4.3311	0.79	1093480131402113
12	10.1	21	4.0025	0.56	1093480131402113
13	10.7	20	3.84057	0.6	1093480131402113
14	11.22	21	3.57514	0.52	1093480131402113
15	11.75	21	3.53942	0.53	1093480131402113
16	12.23	21	3.37892	0.48	1093480131402113
17	12.74	21	3.18628	0.51	1093480131402113
18	13.21	20	3.02091	0.47	1093480131402113
19	13.63	20	3.36052	0.42	1093480131402113
20	14.05	20	2.9099	0.42	1093480131402113
21	14.49	20	3.01992	0.44	1093480131402113
22	14.92	21	3.39022	0.43	1093480131402113
23	15.3	20	3.68917	0.38	1093480131402113
24	15.63	19	3.68281	0.33	1093480131402113
25	15.93	19	3.81904	0.3	1093480131402113
26	16.22	19	3.95621	0.29	1093480131402113
27	16.56	20	4.2245	0.34	1093480131402113
28	16.87	20	4.28288	0.31	1093480131402113
29	17.14	20	3.98753	0.27	1093480131402113
30	17.37	21	4.3958	0.23	1093480131402113
31	17.63	21	4.33741	0.26	1093480131402113
32	17.9	22	4.10244	0.27	1093480131402113
33	18.13	21	4.21937	0.23	1093480131402113
34	18.38	21	4.32846	0.25	1093480131402113
35	18.6	19	4.5793	0.22	1093480131402113
36	18.85	21	4.60733	0.25	1093480131402113
37	19.08	19	4.94202	0.23	1093480131402113
38	19.26	19	5.29834	0.18	1093480131402113
39	19.47	20	5.30934	0.21	1093480131402113
40	19.83	20	6.17342	0.36	1093480131402113
41	20.51	20	8.43623	0.68	1093480131402113
42	20.64	20	8.43092	0.13	1093480131402113
43	20.8	20	8.45931	0.16	1093480131402113
44	20.98	20	8.46225	0.18	1093480131402113
45	21.14	20	8.49355	0.16	1093480131402113
46	21.34	22	8.47611	0.2	1093480131402113
47	21.45	22	8.54152	0.11	1093480131402113
48	21.55	22	8.46448	0.1	1093480131402113
49	21.7	22	8.50941	0.15	1093480131402113
50	21.83	24	8.60006	0.13	1093480131402113
51	21.98	24	8.50586	0.15	1093480131402113
52	22.12	23	8.57179	0.14	1093480131402113
53	22.24	24	8.68979	0.12	1093480131402113
54	22.39	23	8.6878	0.15	1093480131402113
55	22.55	24	8.44911	0.16	1093480131402113
56	22.69	25	8.57169	0.14	1093480131402113
57	22.89	24	8.68608	0.2	1093480131402113
58	23.11	22	9.04864	0.22	1093480131402113
59	23.28	24	9.27155	0.17	1093480131402113
60	23.38	23	9.379	0.1	1093480131402113
61	24.07	23	11.1564	0.69	1093480131402113
62	24.21	25	11.1371	0.14	1093480131402113
63	24.35	25	11.1457	0.14	1093480131402113
64	24.48	24	11.0783	0.13	1093480131402113
65	24.59	24	11.1181	0.11	1093480131402113
66	24.7	25	11.1324	0.11	1093480131402113
67	24.82	26	11.1453	0.12	1093480131402113
68	24.95	25	11.0502	0.13	1093480131402113
69	25.03	24	11.0648	0.08	1093480131402113
