Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	1517043321160289
1	0.498	6	0.705688	0.498	1517043321160289
2	0.993	8	0.994963	0.495	1517043321160289
3	1.485	10	1.22015	0.492	1517043321160289
4	1.966	10	1.38847	0.481	1517043321160289
5	2.43	11	1.52581	0.464	1517043321160289
6	2.921	12	1.6896	0.491	1517043321160289
7	3.389	14	1.8143	0.468	1517043321160289
8	3.857	14	1.9255	0.468	1517043321160289
9	4.33	15	2.04135	0.473	1517043321160289
10	4.826	15	2.13863	0.496	1517043321160289
11	5.301	16	2.23727	0.475	1517043321160289
12	5.784	18	2.3393	0.483	1517043321160289
13	6.264	18	2.41915	0.48	1517043321160289
14	6.695	18	2.4684	0.431	1517043321160289
15	7.127	19	2.55203	0.432	1517043321160289
16	7.538	19	2.61869	0.411	1517043321160289
17	8.005	19	2.70832	0.467	1517043321160289
18	8.508	20	2.78064	0.503	1517043321160289
19	8.956	21	2.83127	0.448	1517043321160289
20	9.424	22	2.90693	0.468	1517043321160289
21	9.869	22	2.97117	0.445	1517043321160289
22	10.329	22	3.01625	0.46	1517043321160289
23	10.775	23	3.06894	0.446	1517043321160289
24	11.262	24	3.14696	0.487	1517043321160289
25	11.737	25	3.2112	0.475	1517043321160289
26	12.186	25	3.2943	0.449	1517043321160289
27	12.635	26	3.36597	0.449	1517043321160289
28	13.07	27	3.44196	0.435	1517043321160289
29	13.494	26	3.50185	0.424	1517043321160289
30	13.913	27	3.58294	0.419	1517043321160289
31	14.387	28	3.59517	0.474	1517043321160289
32	14.784	28	3.67387	0.397	1517043321160289
33	15.184	28	3.72655	0.4	1517043321160289
34	15.6	28	3.76231	0.416	1517043321160289
35	16.019	29	3.7795	0.419	1517043321160289
36	16.426	29	3.78887	0.407	1517043321160289
37	16.804	31	3.86116	0.378	1517043321160289
38	17.245	32	3.91216	0.441	1517043321160289
39	17.685	32	3.95649	0.44	1517043321160289
40	18.045	33	3.97542	0.36	1517043321160289
41	18.447	30	4.01612	0.402	1517043321160289
42	18.836	31	4.05131	0.389	1517043321160289
43	19.217	30	4.0519	0.381	1517043321160289
44	19.6	31	4.04178	0.383	1517043321160289
45	19.992	32	4.05782	0.392	1517043321160289
46	20.349	33	4.11086	0.357	1517043321160289
47	20.744	32	4.1291	0.395	1517043321160289
48	21.099	33	4.17591	0.355	1517043321160289
49	21.425	34	4.25422	0.326	1517043321160289
50	21.835	35	4.28273	0.41	1517043321160289
51	22.133	36	4.33593	0.298	1517043321160289
52	22.469	38	4.41792	0.336	1517043321160289
53	22.832	39	4.42852	0.363	1517043321160289
54	23.209	41	4.44098	0.377	1517043321160289
55	23.589	39	4.48521	0.38	1517043321160289
56	23.927	37	4.48003	0.338	1517043321160289
57	24.348	39	4.50709	0.421	1517043321160289
58	24.644	35	4.46668	0.296	1517043321160289
59	24.951	36	4.48047	0.307	1517043321160289
60	25.348	34	4.50288	0.397	1517043321160289
61	25.728	34	4.52814	0.38	1517043321160289
62	26.157	36	4.5513	0.429	1517043321160289
63	26.577	36	4.61336	0.42	1517043321160289
64	26.895	38	4.64704	0.318	1517043321160289
65	27.275	37	4.66855	0.38	1517043321160289
66	27.64	37	4.74146	0.365	1517043321160289
67	27.988	38	4.75687	0.348	1517043321160289
68	28.389	37	4.76767	0.401	1517043321160289
69	28.689	38	4.74081	0.3	1517043321160289
70	29.032	38	4.73962	0.343	1517043321160289
71	29.336	37	4.77432	0.304	1517043321160289
72	29.692	37	4.82619	0.356	1517043321160289
73	30.028	38	4.83789	0.336	1517043321160289
74	30.404	38	4.87748	0.376	1517043321160289
75	30.725	37	4.88522	0.321	1517043321160289
76	31.104	37	4.90542	0.379	1517043321160289
77	31.404	38	4.95013	0.3	1517043321160289
78	31.738	37	4.90401	0.334	1517043321160289
79	32.081	38	4.96462	0.343	1517043321160289
80	32.388	39	4.98893	0.307	1517043321160289
81	32.701	40	4.98845	0.313	1517043321160289
