"Time"	"Displacement"	"Bins"	"Mod"	"Velocity"
"1"	0	0	1	"flat"	NA
"2"	1	0.0983	4	"flat"	0.0983
"3"	2	0.1997	6	"flat"	0.1014
"4"	3	0.3027	6	"flat"	0.103
"5"	4	0.4029	6	"flat"	0.1002
"6"	5	0.5037	8	"flat"	0.1008
"7"	6	0.6039	8	"flat"	0.1002
"8"	7	0.7017	9	"flat"	0.0978
"9"	8	0.8031	10	"flat"	0.1014
"10"	9	0.9032	10	"flat"	0.1001
"11"	10	1.0064	10	"flat"	0.1032
"12"	11	1.1002	10	"flat"	0.0938000000000001
"13"	12	1.1986	10	"flat"	0.0984
"14"	13	1.2966	10	"flat"	0.0979999999999999
"15"	14	1.3986	10	"flat"	0.102
"16"	15	1.4922	10	"flat"	0.0935999999999999
"17"	16	1.5908	10	"flat"	0.0986
"18"	17	1.6882	10	"flat"	0.0973999999999999
"19"	18	1.7889	10	"flat"	0.1007
"20"	19	1.8909	10	"flat"	0.102
"21"	20	1.9911	10	"flat"	0.1002
"22"	21	2.0973	10	"flat"	0.1062
"23"	22	2.1978	10	"flat"	0.1005
"24"	23	2.2949	10	"flat"	0.0971000000000002
"25"	24	2.3986	10	"flat"	0.1037
"26"	25	2.5013	10	"flat"	0.1027
"27"	26	2.6075	10	"flat"	0.1062
"28"	27	2.7076	10	"flat"	0.1001
"29"	28	2.8078	10	"flat"	0.1002
"30"	29	2.9071	10	"flat"	0.0992999999999999
"31"	30	3.0075	10	"flat"	0.1004
"32"	31	3.1075	10	"flat"	0.1
"33"	32	3.2075	10	"flat"	0.1
"34"	33	3.3064	10	"flat"	0.0989
"35"	34	3.4067	10	"flat"	0.1003
"36"	35	3.5102	10	"flat"	0.1035
"37"	36	3.6118	10	"flat"	0.1016
"38"	37	3.7047	10	"flat"	0.0928999999999998
"39"	38	3.7959	10	"flat"	0.0912000000000002
"40"	39	3.8832	10	"flat"	0.0872999999999999
"41"	40	3.9777	10	"flat"	0.0945
