"Time"	"Displacement"	"Bins"	"Mod"	"Velocity"
"1"	0	0	1	"r7"	NA
"2"	1	0.1009	4	"r7"	0.1009
"3"	2	0.2007	5	"r7"	0.0998
"4"	3	0.3009	6	"r7"	0.1002
"5"	4	0.401	7	"r7"	0.1001
"6"	5	0.5016	7	"r7"	0.1006
"7"	6	0.6012	8	"r7"	0.0995999999999999
"8"	7	0.7029	8	"r7"	0.1017
"9"	8	0.8016	8	"r7"	0.0987
"10"	9	0.9005	8	"r7"	0.0989
"11"	10	0.9992	8	"r7"	0.0987
"12"	11	1.099	8	"r7"	0.0998
"13"	12	1.1981	9	"r7"	0.0991
"14"	13	1.3001	9	"r7"	0.102
"15"	14	1.401	9	"r7"	0.1009
"16"	15	1.5051	9	"r7"	0.1041
"17"	16	1.6046	9	"r7"	0.0994999999999999
"18"	17	1.7051	9	"r7"	0.1005
"19"	18	1.8053	10	"r7"	0.1002
"20"	19	1.9026	9	"r7"	0.0973000000000002
"21"	20	1.9992	10	"r7"	0.0966
"22"	21	2.0915	10	"r7"	0.0922999999999998
"23"	22	2.1827	10	"r7"	0.0912000000000002
"24"	23	2.281	10	"r7"	0.0983000000000001
"25"	24	2.3671	10	"r7"	0.0861000000000001
"26"	25	2.4558	10	"r7"	0.0886999999999998
"27"	26	2.5509	10	"r7"	0.0951
"28"	27	2.6453	10	"r7"	0.0944000000000003
"29"	28	2.7316	10	"r7"	0.0862999999999996
"30"	29	2.8144	10	"r7"	0.0828000000000002
"31"	30	2.906	10	"r7"	0.0916000000000001
"32"	31	2.9881	10	"r7"	0.0821000000000001
"33"	32	3.066	10	"r7"	0.0778999999999996
"34"	33	3.1386	10	"r7"	0.0726
"35"	34	3.2168	10	"r7"	0.0782000000000003
"36"	35	3.2839	10	"r7"	0.0670999999999999
"37"	36	3.3512	10	"r7"	0.0672999999999999
"38"	37	3.4257	10	"r7"	0.0745
"39"	38	3.4897	10	"r7"	0.0640000000000001
"40"	39	3.559	10	"r7"	0.0693000000000001
"41"	40	3.6271	10	"r7"	0.0680999999999998
"42"	41	3.6903	10	"r7"	0.0632000000000001
"43"	42	3.7527	10	"r7"	0.0623999999999998
"44"	43	3.812	10	"r7"	0.0592999999999999
"45"	44	3.8782	10	"r7"	0.0662000000000003
"46"	45	3.948	10	"r7"	0.0697999999999999
"47"	46	4.0081	10	"r7"	0.0600999999999998
"48"	47	4.0632	10	"r7"	0.0551000000000004
"49"	48	4.1238	10	"r7"	0.0606
"50"	49	4.1809	10	"r7"	0.0571000000000002
"51"	50	4.2304	10	"r7"	0.0495000000000001
"52"	51	4.294	10	"r7"	0.0635999999999992
"53"	52	4.3397	10	"r7"	0.0457000000000001
"54"	53	4.3943	10	"r7"	0.0546000000000006
"55"	54	4.4398	10	"r7"	0.0454999999999997
"56"	55	4.4995	10	"r7"	0.0597000000000003
"57"	56	4.5422	10	"r7"	0.0427
"58"	57	4.586	10	"r7"	0.0438000000000001
"59"	58	4.6268	10	"r7"	0.0407999999999999
"60"	59	4.6778	10	"r7"	0.0510000000000002
"61"	60	4.7106	10	"r7"	0.0327999999999999
"62"	61	4.7564	10	"r7"	0.0457999999999998
"63"	62	4.7995	10	"r7"	0.0430999999999999
"64"	63	4.8439	10	"r7"	0.0443999999999996
"65"	64	4.8874	10	"r7"	0.0435000000000008
"66"	65	4.9343	10	"r7"	0.0468999999999999
"67"	66	4.9721	10	"r7"	0.0377999999999998
"68"	67	5.0195	10	"r7"	0.0473999999999997
"69"	68	5.064	10	"r7"	0.0445000000000002
"70"	69	5.109	10	"r7"	0.0449999999999999
"71"	70	5.1544	10	"r7"	0.0453999999999999
"72"	71	5.2009	10	"r7"	0.0465
"73"	72	5.243	10	"r7"	0.0421000000000005
"74"	73	5.2955	10	"r7"	0.0524999999999993
"75"	74	5.3368	10	"r7"	0.0413000000000006
"76"	75	5.3862	10	"r7"	0.0493999999999994
"77"	76	5.4357	10	"r7"	0.0495000000000001
"78"	77	5.4812	10	"r7"	0.0455000000000005
"79"	78	5.5217	10	"r7"	0.0404999999999998
"80"	79	5.5686	10	"r7"	0.0468999999999999
"81"	80	5.6082	10	"r7"	0.0396000000000001
"82"	81	5.6512	10	"r7"	0.0430000000000001
"83"	82	5.6962	10	"r7"	0.0449999999999999
"84"	83	5.7486	10	"r7"	0.0523999999999996
"85"	84	5.7935	10	"r7"	0.0449000000000002
"86"	85	5.8325	10	"r7"	0.0389999999999997
"87"	86	5.8716	10	"r7"	0.0391000000000004
"88"	87	5.9292	10	"r7"	0.0575999999999999
"89"	88	5.9822	10	"r7"	0.0529999999999999
"90"	89	6.0272	10	"r7"	0.0449999999999999
"91"	90	6.0829	10	"r7"	0.0557000000000007
"92"	91	6.1439	10	"r7"	0.0609999999999999
"93"	92	6.1904	10	"r7"	0.0465
"94"	93	6.2378	10	"r7"	0.0473999999999997
"95"	94	6.2828	10	"r7"	0.0449999999999999
"96"	95	6.3391	10	"r7"	0.0563000000000002
"97"	96	6.3892	10	"r7"	0.0500999999999996
"98"	97	6.4474	10	"r7"	0.0582000000000003
"99"	98	6.4973	10	"r7"	0.0499000000000001
"100"	99	6.5474	10	"r7"	0.0500999999999996
"101"	100	6.604	10	"r7"	0.0566000000000004
"102"	101	6.6503	10	"r7"	0.0462999999999996
"103"	102	6.6971	10	"r7"	0.0468000000000002
"104"	103	6.7527	10	"r7"	0.0556000000000001
"105"	104	6.811	10	"r7"	0.0583
