Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	471194582318786
1	0.099	4	0.316542	0.099	471194582318786
2	0.2	5	0.450555	0.101	471194582318786
3	0.294	6	0.54641	0.094	471194582318786
4	0.393	6	0.633681	0.099	471194582318786
5	0.494	6	0.715517	0.101	471194582318786
6	0.595	6	0.78802	0.101	471194582318786
7	0.682	7	0.840759	0.087	471194582318786
8	0.784	7	0.897967	0.102	471194582318786
9	0.883	7	0.949901	0.099	471194582318786
10	0.985	7	0.994372	0.102	471194582318786
11	1.08	7	1.04575	0.095	471194582318786
12	1.183	9	1.10522	0.103	471194582318786
13	1.291	9	1.15815	0.108	471194582318786
14	1.39	9	1.20204	0.099	471194582318786
15	1.483	9	1.23195	0.093	471194582318786
16	1.604	9	1.27757	0.121	471194582318786
17	1.697	9	1.30774	0.093	471194582318786
18	1.795	10	1.33116	0.098	471194582318786
19	1.906	10	1.36864	0.111	471194582318786
20	1.994	10	1.40782	0.088	471194582318786
21	2.094	9	1.41992	0.1	471194582318786
22	2.152	10	1.4279	0.058	471194582318786
23	2.242	10	1.45411	0.09	471194582318786
24	2.358	10	1.48015	0.116	471194582318786
25	2.461	11	1.53084	0.103	471194582318786
26	2.573	12	1.55938	0.112	471194582318786
27	2.673	11	1.57831	0.1	471194582318786
28	2.776	10	1.56071	0.103	471194582318786
29	2.862	10	1.58649	0.086	471194582318786
30	2.93	12	1.61496	0.068	471194582318786
31	3.012	12	1.65646	0.082	471194582318786
32	3.132	12	1.70692	0.12	471194582318786
33	3.241	12	1.72711	0.109	471194582318786
34	3.354	13	1.76031	0.113	471194582318786
35	3.46	13	1.78953	0.106	471194582318786
36	3.559	12	1.81012	0.099	471194582318786
37	3.672	13	1.84727	0.113	471194582318786
38	3.793	13	1.87167	0.121	471194582318786
39	3.883	14	1.88317	0.09	471194582318786
40	3.997	13	1.89235	0.114	471194582318786
41	4.096	13	1.9188	0.099	471194582318786
42	4.186	14	1.97013	0.09	471194582318786
43	4.3	14	2.001	0.114	471194582318786
44	4.396	14	2.00803	0.096	471194582318786
45	4.509	15	2.02137	0.113	471194582318786
46	4.632	15	2.04953	0.123	471194582318786
47	4.728	16	2.08375	0.096	471194582318786
48	4.841	16	2.09707	0.113	471194582318786
49	4.945	16	2.11258	0.104	471194582318786
50	5.045	16	2.15267	0.1	471194582318786
51	5.125	17	2.15786	0.08	471194582318786
52	5.245	16	2.15847	0.12	471194582318786
53	5.352	15	2.19297	0.107	471194582318786
54	5.438	15	2.20185	0.086	471194582318786
55	5.507	16	2.19953	0.069	471194582318786
56	5.636	16	2.22205	0.129	471194582318786
57	5.729	16	2.27608	0.093	471194582318786
58	5.823	18	2.30644	0.094	471194582318786
59	5.946	18	2.34139	0.123	471194582318786
60	6.007	17	2.36156	0.061	471194582318786
61	6.08	17	2.37647	0.073	471194582318786
62	6.163	19	2.41525	0.083	471194582318786
63	6.258	20	2.44999	0.095	471194582318786
64	6.351	19	2.46532	0.093	471194582318786
65	6.461	18	2.49148	0.11	471194582318786
66	6.579	18	2.50335	0.118	471194582318786
67	6.685	18	2.56277	0.106	471194582318786
68	6.803	17	2.58345	0.118	471194582318786
69	6.939	18	2.6194	0.136	471194582318786
70	6.987	19	2.61454	0.048	471194582318786
71	7.072	20	2.6086	0.085	471194582318786
72	7.182	17	2.61417	0.11	471194582318786
73	7.308	17	2.64899	0.126	471194582318786
74	7.424	17	2.66425	0.116	471194582318786
75	7.537	17	2.67276	0.113	471194582318786
76	7.612	17	2.68951	0.075	471194582318786
77	7.71	18	2.70424	0.098	471194582318786
78	7.798	18	2.71794	0.088	471194582318786
79	7.893	19	2.74364	0.095	471194582318786
80	8.013	18	2.77342	0.12	471194582318786
81	8.125	18	2.77279	0.112	471194582318786
82	8.214	19	2.80539	0.089	471194582318786
83	8.29	20	2.81103	0.076	471194582318786
84	8.366	20	2.80322	0.076	471194582318786
85	8.491	19	2.85516	0.125	471194582318786
86	8.601	19	2.86353	0.11	471194582318786
87	8.709	19	2.88085	0.108	471194582318786
88	8.804	18	2.91249	0.095	471194582318786
89	8.905	18	2.94703	0.101	471194582318786
90	9.013	19	2.96426	0.108	471194582318786
91	9.071	18	2.99382	0.058	471194582318786
92	9.112	19	2.99624	0.041	471194582318786
93	9.256	19	2.99674	0.144	471194582318786
94	9.336	20	3.03069	0.08	471194582318786
95	9.418	19	3.04356	0.082	471194582318786
96	9.516	20	3.09043	0.098	471194582318786
