Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	3767796507356326
1	0.195	5	0.462574	0.195	3767796507356326
2	0.392	7	0.668084	0.197	3767796507356326
3	0.609	9	0.85564	0.217	3767796507356326
4	0.832	10	1.02507	0.223	3767796507356326
5	1.091	11	1.21438	0.259	3767796507356326
6	1.345	12	1.39031	0.254	3767796507356326
7	1.625	11	1.56057	0.28	3767796507356326
8	1.895	12	1.71929	0.27	3767796507356326
9	2.195	14	1.88148	0.3	3767796507356326
10	2.46	15	2.01504	0.265	3767796507356326
11	2.798	16	2.16753	0.338	3767796507356326
12	3.145	15	2.33495	0.347	3767796507356326
13	3.493	17	2.47789	0.348	3767796507356326
14	3.845	18	2.66514	0.352	3767796507356326
15	4.25	19	2.84104	0.405	3767796507356326
16	4.7	18	3.03612	0.45	3767796507356326
17	5.088	20	3.18485	0.388	3767796507356326
18	5.494	20	3.34917	0.406	3767796507356326
19	5.92	23	3.53166	0.426	3767796507356326
20	6.338	24	3.6618	0.418	3767796507356326
21	6.8	24	3.81811	0.462	3767796507356326
22	7.272	25	3.96749	0.472	3767796507356326
23	7.701	26	4.08957	0.429	3767796507356326
24	8.209	28	4.19813	0.508	3767796507356326
25	8.648	28	4.31811	0.439	3767796507356326
26	9.167	29	4.48075	0.519	3767796507356326
27	9.629	30	4.63685	0.462	3767796507356326
28	10.165	31	4.75203	0.536	3767796507356326
29	10.543	31	4.84408	0.378	3767796507356326
30	11.082	34	4.93966	0.539	3767796507356326
31	11.567	33	5.05149	0.485	3767796507356326
32	12.111	36	5.15497	0.544	3767796507356326
33	12.595	36	5.23421	0.484	3767796507356326
34	13.081	36	5.33586	0.486	3767796507356326
35	13.588	38	5.41906	0.507	3767796507356326
36	14.124	38	5.46897	0.536	3767796507356326
37	14.641	39	5.50301	0.517	3767796507356326
38	15.2	39	5.62228	0.559	3767796507356326
39	15.721	40	5.67364	0.521	3767796507356326
40	16.275	40	5.74616	0.554	3767796507356326
41	16.826	40	5.73583	0.551	3767796507356326
42	17.344	40	5.76868	0.518	3767796507356326
43	17.84	40	5.84075	0.496	3767796507356326
44	18.319	40	5.87812	0.479	3767796507356326
45	18.941	41	5.88859	0.622	3767796507356326
46	19.59	43	5.91658	0.649	3767796507356326
47	20.183	44	6.02624	0.593	3767796507356326
48	20.699	45	6.03203	0.516	3767796507356326
49	21.171	46	6.0372	0.472	3767796507356326
50	21.727	45	6.06551	0.556	3767796507356326
51	22.246	45	6.15301	0.519	3767796507356326
52	22.803	44	6.16816	0.557	3767796507356326
53	23.311	45	6.25158	0.508	3767796507356326
54	23.809	47	6.30567	0.498	3767796507356326
55	24.41	47	6.31189	0.601	3767796507356326
56	24.962	48	6.32318	0.552	3767796507356326
57	25.522	47	6.38197	0.56	3767796507356326
58	26.082	48	6.37536	0.56	3767796507356326
59	26.572	49	6.42206	0.49	3767796507356326
60	27.046	49	6.4879	0.474	3767796507356326
61	27.487	49	6.45468	0.441	3767796507356326
62	28.161	51	6.49169	0.674	3767796507356326
63	28.676	48	6.53996	0.515	3767796507356326
64	29.128	48	6.55855	0.452	3767796507356326
65	29.697	49	6.61628	0.569	3767796507356326
66	30.186	50	6.64096	0.489	3767796507356326
67	30.766	51	6.64456	0.58	3767796507356326
68	31.343	52	6.63177	0.577	3767796507356326
69	31.928	51	6.67606	0.585	3767796507356326
70	32.468	51	6.7047	0.54	3767796507356326
71	32.992	51	6.74996	0.524	3767796507356326
72	33.535	52	6.82267	0.543	3767796507356326
73	34.073	53	6.87144	0.538	3767796507356326
74	34.562	52	6.91268	0.489	3767796507356326
75	35.152	55	6.9055	0.59	3767796507356326
76	35.773	57	6.94489	0.621	3767796507356326
77	36.36	56	6.92542	0.587	3767796507356326
78	36.836	57	7.00508	0.476	3767796507356326
79	37.348	58	7.03263	0.512	3767796507356326
80	37.784	60	7.06083	0.436	3767796507356326
81	38.353	59	7.09002	0.569	3767796507356326
82	38.797	59	7.16281	0.444	3767796507356326
83	39.29	61	7.17955	0.493	3767796507356326
84	39.816	62	7.20716	0.526	3767796507356326
85	40.321	61	7.25451	0.505	3767796507356326
86	40.84	61	7.22194	0.519	3767796507356326
87	41.367	60	7.17128	0.527	3767796507356326
88	41.835	62	7.10829	0.468	3767796507356326
89	42.365	61	7.08899	0.53	3767796507356326
90	42.902	59	7.12884	0.537	3767796507356326
91	43.394	56	7.10632	0.492	3767796507356326
92	43.853	56	7.12316	0.459	3767796507356326
93	44.32	54	7.09884	0.467	3767796507356326
94	44.847	55	7.11987	0.527	3767796507356326
95	45.412	53	7.03834	0.565	3767796507356326
96	45.978	53	7.05907	0.566	3767796507356326
97	46.502	52	7.0132	0.524	3767796507356326
98	46.913	54	7.01573	0.411	3767796507356326
99	47.396	53	7.08535	0.483	3767796507356326
100	47.968	55	7.19319	0.572	3767796507356326
101	48.421	53	7.17431	0.453	3767796507356326
102	48.895	55	7.17705	0.474	3767796507356326
103	49.465	57	7.31046	0.57	3767796507356326
104	49.969	57	7.30507	0.504	3767796507356326
105	50.465	59	7.38382	0.496	3767796507356326
106	51.005	60	7.34139	0.54	3767796507356326
107	51.532	62	7.35207	0.527	3767796507356326
108	52.081	62	7.41859	0.549	3767796507356326
109	52.542	60	7.47832	0.461	3767796507356326
110	53.109	60	7.45266	0.567	3767796507356326
111	53.604	60	7.48319	0.495	3767796507356326
112	54.085	59	7.42791	0.481	3767796507356326
113	54.621	59	7.42411	0.536	3767796507356326
114	55.096	56	7.51038	0.475	3767796507356326
115	55.676	60	7.56928	0.58	3767796507356326
116	56.007	60	7.55142	0.331	3767796507356326
117	56.474	57	7.55442	0.467	3767796507356326
118	57.016	57	7.55955	0.542	3767796507356326
119	57.479	53	7.60872	0.463	3767796507356326
120	57.939	54	7.58032	0.46	3767796507356326
121	58.401	54	7.58711	0.462	3767796507356326
122	58.918	54	7.65606	0.517	3767796507356326
123	59.437	54	7.68564	0.519	3767796507356326
124	59.885	57	7.6574	0.448	3767796507356326
125	60.376	57	7.70465	0.491	3767796507356326
126	60.876	58	7.7261	0.5	3767796507356326
127	61.33	58	7.80712	0.454	3767796507356326
128	61.8	57	7.72341	0.47	3767796507356326
129	62.29	57	7.69921	0.49	3767796507356326
130	62.671	59	7.64734	0.381	3767796507356326
131	63.037	55	7.59412	0.366	3767796507356326
132	63.442	53	7.59866	0.405	3767796507356326
133	63.849	53	7.58908	0.407	3767796507356326
134	64.173	55	7.60868	0.324	3767796507356326
135	64.615	53	7.59222	0.442	3767796507356326
136	64.994	55	7.63177	0.379	3767796507356326
137	65.412	57	7.6852	0.418	3767796507356326
138	65.911	55	7.66558	0.499	3767796507356326
139	66.366	56	7.65735	0.455	3767796507356326
140	66.899	53	7.6065	0.533	3767796507356326
141	67.442	51	7.66379	0.543	3767796507356326
142	67.851	51	7.6332	0.409	3767796507356326
143	68.371	48	7.62996	0.52	3767796507356326
144	68.798	49	7.65018	0.427	3767796507356326
145	69.234	49	7.70605	0.436	3767796507356326
146	69.731	52	7.72856	0.497	3767796507356326
147	70.085	53	7.75485	0.354	3767796507356326
148	70.535	52	7.76175	0.45	3767796507356326
149	70.982	52	7.74846	0.447	3767796507356326
150	71.396	53	7.81615	0.414	3767796507356326
151	71.833	51	7.71668	0.437	3767796507356326
152	72.228	52	7.71097	0.395	3767796507356326
153	72.631	51	7.69492	0.403	3767796507356326
154	73.022	49	7.64327	0.391	3767796507356326
155	73.401	49	7.61631	0.379	3767796507356326
156	73.991	49	7.6159	0.59	3767796507356326
157	74.506	49	7.63452	0.515	3767796507356326
158	74.966	48	7.70174	0.46	3767796507356326
159	75.416	48	7.69311	0.45	3767796507356326
160	75.844	46	7.6521	0.428	3767796507356326
161	76.188	45	7.60037	0.344	3767796507356326
162	76.592	45	7.6733	0.404	3767796507356326
163	77.066	45	7.72332	0.474	3767796507356326
164	77.386	45	7.75081	0.32	3767796507356326
165	77.734	45	7.6969	0.348	3767796507356326
166	78.118	43	7.695	0.384	3767796507356326
167	78.546	43	7.71102	0.428	3767796507356326
168	78.876	43	7.68398	0.33	3767796507356326
169	79.353	43	7.68891	0.477	3767796507356326
170	79.714	42	7.61953	0.361	3767796507356326
171	80.107	41	7.67252	0.393	3767796507356326
172	80.536	41	7.66099	0.429	3767796507356326
173	80.982	41	7.60695	0.446	3767796507356326
174	81.398	41	7.55881	0.416	3767796507356326
175	81.783	40	7.47856	0.385	3767796507356326
176	82.161	40	7.54103	0.378	3767796507356326
177	82.488	40	7.47047	0.327	3767796507356326
178	82.835	40	7.38172	0.347	3767796507356326
179	83.193	39	7.37297	0.358	3767796507356326
180	83.667	39	7.34044	0.474	3767796507356326
181	84.018	38	7.291	0.351	3767796507356326
182	84.428	38	7.24216	0.41	3767796507356326
183	84.824	38	7.24838	0.396	3767796507356326
184	85.181	38	7.14229	0.357	3767796507356326
185	85.644	38	7.10333	0.463	3767796507356326
186	86.057	38	7.09611	0.413	3767796507356326
187	86.374	38	7.00558	0.317	3767796507356326
188	86.652	38	6.89347	0.278	3767796507356326
189	86.952	37	6.85651	0.3	3767796507356326
190	87.278	38	6.8365	0.326	3767796507356326
191	87.637	38	6.74642	0.359	3767796507356326
192	87.914	38	6.67822	0.277	3767796507356326
193	88.195	37	6.64793	0.281	3767796507356326
194	88.459	37	6.56874	0.264	3767796507356326
195	88.818	37	6.46861	0.359	3767796507356326
196	89.026	35	6.41376	0.208	3767796507356326
197	89.337	36	6.33809	0.311	3767796507356326
198	89.588	34	6.27569	0.251	3767796507356326
199	89.881	34	6.16683	0.293	3767796507356326
200	90.102	34	6.17573	0.221	3767796507356326
201	90.33	34	6.13091	0.228	3767796507356326
202	90.557	34	5.98237	0.227	3767796507356326
203	90.743	34	5.93927	0.186	3767796507356326
204	90.91	34	5.85174	0.167	3767796507356326
205	91.185	34	5.7203	0.275	3767796507356326
206	91.396	33	5.65422	0.211	3767796507356326
207	91.647	33	5.56322	0.251	3767796507356326
208	91.833	33	5.45849	0.186	3767796507356326
209	92.012	33	5.40082	0.179	3767796507356326
210	92.214	32	5.29341	0.202	3767796507356326
211	92.358	31	5.18072	0.144	3767796507356326
212	92.564	31	5.04172	0.206	3767796507356326
213	92.809	30	5.02061	0.245	3767796507356326
214	92.999	30	4.97303	0.19	3767796507356326
215	93.144	30	4.9525	0.145	3767796507356326
216	93.286	30	4.87957	0.142	3767796507356326
217	93.421	30	4.85683	0.135	3767796507356326
218	93.527	30	4.76511	0.106	3767796507356326
219	93.721	29	4.68819	0.194	3767796507356326
220	93.852	30	4.55457	0.131	3767796507356326
221	93.949	30	4.51956	0.097	3767796507356326
222	94.098	29	4.52066	0.149	3767796507356326
223	94.185	28	4.47893	0.087	3767796507356326
224	94.225	27	4.42712	0.04	3767796507356326
225	94.352	27	4.43431	0.127	3767796507356326
226	94.472	27	4.35778	0.12	3767796507356326
227	94.571	26	4.26825	0.099	3767796507356326
228	94.749	24	4.18043	0.178	3767796507356326
229	94.876	24	4.12136	0.127	3767796507356326
230	95.015	23	4.02378	0.139	3767796507356326
231	95.062	23	4.01972	0.047	3767796507356326
232	95.148	23	3.96662	0.086	3767796507356326
233	95.225	23	3.95972	0.077	3767796507356326
234	95.279	23	3.95969	0.054	3767796507356326
235	95.361	22	3.86415	0.082	3767796507356326
236	95.426	21	3.75706	0.065	3767796507356326
237	95.502	21	3.74927	0.076	3767796507356326
238	95.561	20	3.7469	0.059	3767796507356326
239	95.656	19	3.60315	0.095	3767796507356326
240	95.721	19	3.61319	0.065	3767796507356326
241	95.813	19	3.54133	0.092	3767796507356326
242	95.877	18	3.49226	0.064	3767796507356326
243	95.92	18	3.51064	0.043	3767796507356326
244	96.046	18	3.30543	0.126	3767796507356326
245	96.107	18	3.34328	0.061	3767796507356326
246	96.212	18	3.23575	0.105	3767796507356326
247	96.307	18	3.16587	0.095	3767796507356326
248	96.398	18	3.11699	0.091	3767796507356326
249	96.495	17	3.04368	0.097	3767796507356326
250	96.577	16	2.94823	0.082	3767796507356326
251	96.671	16	2.85635	0.094	3767796507356326
252	96.741	16	2.85621	0.07	3767796507356326
253	96.814	16	2.72679	0.073	3767796507356326
254	96.875	15	2.75996	0.061	3767796507356326
255	96.951	15	2.66563	0.076	3767796507356326
256	97.045	15	2.50798	0.094	3767796507356326
257	97.078	15	2.50098	0.033	3767796507356326
258	97.125	15	2.52119	0.047	3767796507356326
259	97.175	15	2.52653	0.05	3767796507356326
260	97.23	15	2.34438	0.055	3767796507356326
261	97.281	14	2.40251	0.051	3767796507356326
262	97.346	14	2.23233	0.065	3767796507356326
263	97.392	14	2.24841	0.046	3767796507356326
264	97.411	14	2.29436	0.019	3767796507356326
265	97.463	13	2.2277	0.052	3767796507356326
266	97.486	13	2.17757	0.023	3767796507356326
267	97.533	13	2.18539	0.047	3767796507356326
268	97.568	13	2.07711	0.035	3767796507356326
269	97.622	13	2.15966	0.054	3767796507356326
270	97.687	13	1.9432	0.065	3767796507356326
271	97.735	13	2.05567	0.048	3767796507356326
272	97.783	13	1.91309	0.048	3767796507356326
273	97.838	13	1.95109	0.055	3767796507356326
274	97.879	13	1.87733	0.041	3767796507356326
275	97.908	12	1.74944	0.029	3767796507356326
276	97.947	12	1.79727	0.039	3767796507356326
277	97.974	12	1.79926	0.027	3767796507356326
278	98.017	12	1.7552	0.043	3767796507356326
279	98.04	11	1.62093	0.023	3767796507356326
280	98.066	11	1.68631	0.026	3767796507356326
281	98.102	10	1.54583	0.036	3767796507356326
282	98.128	10	1.5413	0.026	3767796507356326
283	98.156	10	1.41798	0.028	3767796507356326
284	98.187	10	1.44604	0.031	3767796507356326
285	98.213	9	1.38731	0.026	3767796507356326
286	98.238	9	1.52426	0.025	3767796507356326
287	98.266	9	1.38789	0.028	3767796507356326
288	98.29	9	1.34123	0.024	3767796507356326
289	98.313	9	1.36786	0.023	3767796507356326
290	98.336	9	1.26495	0.023	3767796507356326
291	98.372	9	1.37863	0.036	3767796507356326
292	98.407	9	1.33317	0.035	3767796507356326
293	98.414	9	1.32725	0.007	3767796507356326
294	98.428	9	1.25212	0.014	3767796507356326
295	98.443	9	1.3322	0.015	3767796507356326
296	98.459	9	1.21874	0.016	3767796507356326
297	98.476	9	1.3496	0.017	3767796507356326
298	98.49	9	1.23162	0.014	3767796507356326
299	98.505	9	1.16832	0.015	3767796507356326
300	98.524	8	1.07955	0.019	3767796507356326
301	98.537	8	1.21681	0.013	3767796507356326
302	98.552	8	1.17741	0.015	3767796507356326
303	98.575	8	1.05989	0.023	3767796507356326
304	98.594	7	1.04459	0.019	3767796507356326
305	98.606	7	1.23319	0.012	3767796507356326
306	98.622	7	0.999058	0.016	3767796507356326
307	98.631	7	1.11975	0.009	3767796507356326
308	98.637	7	1.09737	0.006	3767796507356326
309	98.651	7	1.16456	0.014	3767796507356326
310	98.663	7	1.14518	0.012	3767796507356326
311	98.674	7	1.04533	0.011	3767796507356326
312	98.693	7	0.960599	0.019	3767796507356326
313	98.697	7	0.882151	0.004	3767796507356326
314	98.702	6	1.06122	0.005	3767796507356326
315	98.707	6	0.926904	0.005	3767796507356326
316	98.72	6	0.938403	0.013	3767796507356326
317	98.732	6	0.787513	0.012	3767796507356326
318	98.739	6	0.984824	0.007	3767796507356326
319	98.752	6	0.996743	0.013	3767796507356326
320	98.758	6	0.925438	0.006	3767796507356326
321	98.769	6	0.882405	0.011	3767796507356326
322	98.778	6	0.987783	0.009	3767796507356326
323	98.779	6	0.81127	0.001	3767796507356326
324	98.784	6	0.825436	0.005	3767796507356326
325	98.795	6	0.889368	0.011	3767796507356326
326	98.801	6	0.910713	0.006	3767796507356326
327	98.806	6	1.00118	0.005	3767796507356326
328	98.814	6	0.902997	0.008	3767796507356326
329	98.822	6	0.993134	0.008	3767796507356326
330	98.828	6	0.891861	0.006	3767796507356326
331	98.835	6	0.935829	0.007	3767796507356326
332	98.843	6	0.884506	0.008	3767796507356326
333	98.842	6	0.855006	-0.001	3767796507356326
334	98.846	6	0.790116	0.004	3767796507356326
335	98.852	6	0.814307	0.006	3767796507356326
336	98.855	6	0.804969	0.003	3767796507356326
337	98.857	5	0.801593	0.002	3767796507356326
338	98.864	5	0.842914	0.007	3767796507356326
339	98.867	5	0.774152	0.003	3767796507356326
340	98.871	5	0.790164	0.004	3767796507356326
341	98.878	5	0.661147	0.007	3767796507356326
342	98.881	5	0.758181	0.003	3767796507356326
343	98.879	5	0.772243	-0.002	3767796507356326
344	98.881	5	0.480457	0.002	3767796507356326
345	98.885	5	0.753508	0.004	3767796507356326
346	98.889	5	0.759394	0.004	3767796507356326
347	98.891	5	0.751744	0.002	3767796507356326
348	98.893	5	0.729761	0.002	3767796507356326
349	98.895	5	0.746977	0.002	3767796507356326
350	98.897	5	0.812029	0.002	3767796507356326
351	98.897	5	0.729651	0	3767796507356326
352	98.9	5	0.676018	0.003	3767796507356326
353	98.9	5	0.936483	0	3767796507356326
354	98.904	5	0.61056	0.004	3767796507356326
355	98.905	5	0.732103	0.001	3767796507356326
356	98.91	5	0.799937	0.005	3767796507356326
357	98.917	4	0.729459	0.007	3767796507356326
358	98.918	4	0.617476	0.001	3767796507356326
359	98.92	4	0.640781	0.002	3767796507356326
360	98.922	4	0.70634	0.002	3767796507356326
361	98.923	4	0.61243	0.001	3767796507356326
362	98.924	4	0.700874	0.001	3767796507356326
363	98.928	4	0.530863	0.004	3767796507356326
364	98.928	4	0.684701	0	3767796507356326
365	98.931	4	0.458518	0.003	3767796507356326
366	98.932	4	0.63117	0.001	3767796507356326
367	98.931	4	0.700171	-0.001	3767796507356326
368	98.933	4	0.69822	0.002	3767796507356326
369	98.935	4	0.59563	0.002	3767796507356326
370	98.937	4	0.471202	0.002	3767796507356326
371	98.939	4	0.575568	0.002	3767796507356326
372	98.943	3	0.511616	0.004	3767796507356326
373	98.944	3	0.64565	0.001	3767796507356326
374	98.944	3	0.684006	0	3767796507356326
375	98.946	3	0.437132	0.002	3767796507356326
376	98.946	3	0.556852	0	3767796507356326
377	98.947	3	0.594299	0.001	3767796507356326
378	98.95	3	0.546352	0.003	3767796507356326
379	98.952	3	0.413154	0.002	3767796507356326
380	98.952	3	0.610488	0	3767796507356326
381	98.953	3	0.598992	0.001	3767796507356326
382	98.954	3	0.552163	0.001	3767796507356326
383	98.954	3	0.565583	0	3767796507356326
384	98.956	3	0.592507	0.002	3767796507356326
385	98.957	3	0.573717	0.001	3767796507356326
386	98.957	3	0.60179	0	3767796507356326
387	98.96	3	0.491325	0.003	3767796507356326
388	98.96	3	0.511273	0	3767796507356326
389	98.96	3	0.566922	0	3767796507356326
390	98.958	3	0.664256	-0.002	3767796507356326
391	98.959	3	0.572991	0.001	3767796507356326
392	98.961	3	0.505449	0.002	3767796507356326
393	98.962	3	0.559067	0.001	3767796507356326
394	98.965	3	0.284209	0.003	3767796507356326
395	98.963	3	0.564474	-0.002	3767796507356326
396	98.964	3	0.540096	0.001	3767796507356326
397	98.963	3	0.540954	-0.001	3767796507356326
398	98.964	3	0.602249	0.001	3767796507356326
399	98.964	3	0.562765	0	3767796507356326
400	98.964	3	0.722291	0	3767796507356326
401	98.965	3	0.527044	0.001	3767796507356326
402	98.965	3	0.437921	0	3767796507356326
403	98.966	3	0.601535	0.001	3767796507356326
404	98.968	3	0.661798	0.002	3767796507356326
405	98.969	3	0.541331	0.001	3767796507356326
406	98.969	3	0.695729	0	3767796507356326
407	98.97	3	0.508035	0.001	3767796507356326
408	98.969	3	0.651183	-0.001	3767796507356326
409	98.972	3	0.388865	0.003	3767796507356326
410	98.971	3	0.597628	-0.001	3767796507356326
411	98.972	3	0.584992	0.001	3767796507356326
412	98.974	3	0.582515	0.002	3767796507356326
413	98.975	3	0.417582	0.001	3767796507356326
414	98.974	3	0.700945	-0.001	3767796507356326
415	98.977	3	0.591161	0.003	3767796507356326
416	98.977	3	0.514267	0	3767796507356326
417	98.976	3	0.659867	-0.001	3767796507356326
418	98.977	3	0.538025	0.001	3767796507356326
419	98.977	3	0.602056	0	3767796507356326
420	98.978	3	0.561708	0.001	3767796507356326
421	98.979	3	0.549144	0.001	3767796507356326
422	98.981	3	0.49055	0.002	3767796507356326
423	98.981	2	0.604681	0	3767796507356326
424	98.983	2	0.423923	0.002	3767796507356326
425	98.983	2	0.365665	0	3767796507356326
426	98.984	2	0.539207	0.001	3767796507356326
427	98.985	2	0.48039	0.001	3767796507356326
428	98.985	2	0.48039	0	3767796507356326
429	98.986	2	0.334371	0.001	3767796507356326
430	98.986	2	0.323734	0	3767796507356326
431	98.986	2	0.11749	0	3767796507356326
432	98.986	2	0.543879	0	3767796507356326
433	98.989	2	0.236387	0.003	3767796507356326
434	98.988	2	0.418158	-0.001	3767796507356326
435	98.987	2	0.434547	-0.001	3767796507356326
436	98.988	2	0.358965	0.001	3767796507356326
437	98.987	2	0.517524	-0.001	3767796507356326
438	98.99	2	0.284429	0.003	3767796507356326
439	98.99	2	0.383275	0	3767796507356326
440	98.991	2	0.326985	0.001	3767796507356326
441	98.989	2	0.59823	-0.002	3767796507356326
442	98.99	2	0.375366	0.001	3767796507356326
443	98.989	2	0.425299	-0.001	3767796507356326
444	98.99	2	0.284429	0.001	3767796507356326
445	98.989	2	0.558461	-0.001	3767796507356326
446	98.99	2	0.557584	0.001	3767796507356326
447	98.991	2	0.326985	0.001	3767796507356326
448	98.991	2	0.539369	0	3767796507356326
449	98.991	2	0.51373	0	3767796507356326
450	98.992	2	0.38979	0.001	3767796507356326
451	98.992	2	0.380705	0	3767796507356326
452	98.992	2	0.538457	0	3767796507356326
453	98.993	2	0.323961	0.001	3767796507356326
454	98.993	2	0.504927	0	3767796507356326
455	98.993	2	0.412251	0	3767796507356326
456	98.993	2	0.403672	0	3767796507356326
457	98.993	2	0.427728	0	3767796507356326
458	98.993	2	0.323961	0	3767796507356326
459	98.992	2	0.531917	-0.001	3767796507356326
460	98.992	2	0.479516	0	3767796507356326
461	98.993	2	0.511811	0.001	3767796507356326
462	98.994	2	0.484731	0.001	3767796507356326
463	98.994	2	0.456031	0	3767796507356326
464	98.994	2	0.463642	0	3767796507356326
465	98.994	2	0.350662	0	3767796507356326
466	98.993	2	0.478488	-0.001	3767796507356326
467	98.993	2	0.443792	0	3767796507356326
468	98.992	2	0.573529	-0.001	3767796507356326
469	98.993	2	0.464705	0.001	3767796507356326
470	98.994	2	0.484731	0.001	3767796507356326
471	98.994	2	0.350662	0	3767796507356326
472	98.993	2	0.435834	-0.001	3767796507356326
473	98.993	2	0.403672	0	3767796507356326
474	98.993	2	0.511811	0	3767796507356326
475	98.994	2	0.471131	0.001	3767796507356326
476	98.995	2	0.264528	0.001	3767796507356326
477	98.995	2	0.376796	0	3767796507356326
478	98.995	2	0.454945	0	3767796507356326
479	98.995	2	0.4183	0	3767796507356326
480	98.995	2	0.320897	0	3767796507356326
481	98.994	2	0.503948	-0.001	3767796507356326
482	98.994	2	0.491898	0	3767796507356326
483	98.994	2	0.463642	0	3767796507356326
484	98.994	2	0.484731	0	3767796507356326
485	98.994	2	0.266391	0	3767796507356326
486	98.994	2	0.378106	0	3767796507356326
487	98.994	2	0.419481	0	3767796507356326
488	98.994	2	0.419481	0	3767796507356326
489	98.994	2	0.510846	0	3767796507356326
490	98.995	2	0.47008	0.001	3767796507356326
491	98.995	2	0.401217	0	3767796507356326
492	98.995	2	0.4183	0	3767796507356326
493	98.996	2	0.262648	0.001	3767796507356326
494	98.995	2	0.5357	-0.001	3767796507356326
495	98.996	2	0.221323	0.001	3767796507356326
496	98.995	2	0.401217	-0.001	3767796507356326
497	98.995	2	0.275636	0	3767796507356326
498	98.994	2	0.491898	-0.001	3767796507356326
499	98.995	2	0.349249	0.001	3767796507356326
500	98.995	2	0.48371	0	3767796507356326
501	98.995	2	0.509877	0	3767796507356326
502	98.995	2	0.529127	0	3767796507356326
503	98.995	2	0.5357	0	3767796507356326
504	98.995	2	0.502966	0	3767796507356326
505	98.995	2	0.48371	0	3767796507356326
506	98.996	2	0.417114	0.001	3767796507356326
507	98.996	2	0.384687	0	3767796507356326
508	98.996	2	0.461502	0	3767796507356326
509	98.996	2	0.489882	0	3767796507356326
510	98.997	2	0.346397	0.001	3767796507356326
511	98.997	2	0.439307	0	3767796507356326
512	98.996	2	0.570074	-0.001	3767796507356326
513	98.997	2	0.346397	0.001	3767796507356326
514	98.997	2	0.336141	0	3767796507356326
515	98.997	2	0.272013	0	3767796507356326
516	98.997	2	0.317791	0	3767796507356326
517	98.997	2	0.30658	0	3767796507356326
518	98.996	2	0.469025	-0.001	3767796507356326
519	98.996	2	0.375478	0	3767796507356326
520	98.996	2	0.262648	0	3767796507356326
521	98.996	2	0.424245	0	3767796507356326
522	98.995	2	0.570942	-0.001	3767796507356326
523	98.995	2	0.5357	0	3767796507356326
524	98.995	2	0.48371	0	3767796507356326
525	98.995	2	0.476419	0	3767796507356326
526	98.995	2	0.502966	0	3767796507356326
527	98.995	2	0.509877	0	3767796507356326
528	98.994	2	0.594108	-0.001	3767796507356326
529	98.995	2	0.502966	0.001	3767796507356326
530	98.996	2	0.347828	0.001	3767796507356326
531	98.995	2	0.593275	-0.001	3767796507356326
532	98.995	2	0.593275	0	3767796507356326
533	98.996	2	0.308195	0.001	3767796507356326
534	98.996	2	0.262648	0	3767796507356326
535	98.995	2	0.462574	-0.001	3767796507356326
536	98.995	2	0.454945	0	3767796507356326
537	98.995	2	0.401217	0	3767796507356326
538	98.995	2	0.409848	0	3767796507356326
539	98.995	2	0.502966	0	3767796507356326
540	98.995	2	0.593275	0	3767796507356326
541	98.996	2	0.453855	0.001	3767796507356326
542	98.996	2	0.469025	0	3767796507356326
543	98.997	2	0.219068	0.001	3767796507356326
544	98.997	2	0.260751	0	3767796507356326
545	98.996	2	0.528189	-0.001	3767796507356326
546	98.996	2	0.592439	0	3767796507356326
547	98.997	2	0.439307	0.001	3767796507356326
548	98.996	2	0.570074	-0.001	3767796507356326
549	98.996	2	0.570074	0	3767796507356326
550	98.997	2	0.415922	0.001	3767796507356326
551	98.997	2	0.423073	0	3767796507356326
552	98.996	2	0.508905	-0.001	3767796507356326
553	98.996	2	0.508905	0	3767796507356326
554	98.996	2	0.440436	0	3767796507356326
555	98.997	2	0.219068	0.001	3767796507356326
556	98.997	2	0.272013	0	3767796507356326
557	98.996	2	0.552254	-0.001	3767796507356326
558	98.996	2	0.570074	0	3767796507356326
559	98.997	2	0.366048	0.001	3767796507356326
560	98.997	2	0.460425	0	3767796507356326
561	98.998	2	0.270178	0.001	3767796507356326
562	98.997	2	0.474332	-0.001	3767796507356326
563	98.997	2	0.507928	0	3767796507356326
564	98.998	2	0.372822	0.001	3767796507356326
565	98.997	2	0.50099	-0.001	3767796507356326
566	98.997	2	0.460425	0	3767796507356326
567	98.997	2	0.439307	0	3767796507356326
568	98.998	2	0.0446766	0.001	3767796507356326
569	98.997	2	0.481654	-0.001	3767796507356326
570	98.997	2	0.488867	0	3767796507356326
571	98.998	2	0.316221	0.001	3767796507356326
572	98.997	2	0.551354	-0.001	3767796507356326
573	98.998	2	0.421896	0.001	3767796507356326
574	98.998	2	0.414724	0	3767796507356326
