0	1000	0	0	0	0	0	0	0	0	0	
1	899.6	95.8	4.6	0	0	0	0	0	0	0	
2	814.2	165.4	19.6	0.8	0	0	0	0	0	0	
3	741.8	219.4	33.6	5.2	0	0	0	0	0	0	
4	670.2	266	55.8	7.8	0.2	0	0	0	0	0	
5	607.6	303.4	78.6	10	0.2	0.2	0	0	0	0	
6	540.8	340	100	16.6	2.2	0.4	0	0	0	0	
7	499.4	358.4	118.2	19	5	0	0	0	0	0	
8	448	376.2	140.8	27.4	6.4	1	0.2	0	0	0	
9	381.8	402	167	38	9.6	1.6	0	0	0	0	
10	342.8	403.2	185.6	50.8	15.2	2	0.4	0	0	0	
11	298.8	406.4	198.8	72.6	20.6	2.6	0.2	0	0	0	
12	270.2	386.6	223	89.4	25	5.8	0	0	0	0	
13	247.8	378.4	232.6	105.2	31.6	4	0.4	0	0	0	
14	222.8	363.4	248.6	124	32.2	8.6	0.4	0	0	0	
15	204.8	350.8	261	131.8	36.4	13.4	1.6	0.2	0	0	
16	193.8	329	271	145	44.6	13.6	2.8	0.2	0	0	
17	163.6	319	281	167.8	49.4	14.8	4.4	0	0	0	
18	148.4	312.6	269.8	178.6	60.2	24	6.4	0	0	0	
19	138.8	282	277	187.6	71.4	34.2	8.6	0.4	0	0	
20	126.8	273	281.2	191.2	73.2	40.6	12.4	1.6	0	0	
21	106	265	283.6	207.6	79.8	42.6	13.6	1.8	0	0	
22	98.6	254.6	293	205.4	87.6	42	17.2	1.6	0	0	
23	93.8	225.8	299.8	214	100.4	47.8	17.2	1.2	0	0	
24	80.2	203.4	300.8	226.4	112	54.8	18.8	2.8	0.8	0	
25	72.8	182.8	297	232.8	126	62.2	20.8	4.8	0.8	0	
26	70.4	177.6	287.6	241.2	131.2	66.8	19	4.8	1.2	0.2	
27	66.6	167.4	291.2	231.6	152	63.2	20.4	7.4	0.2	0	
28	64	152.2	286	231.2	168.8	64.8	26.2	6.4	0.4	0	
29	54	133	259.4	260.8	180	72.6	31	8.2	1	0	
30	45.4	122	247.4	261.8	190	82.8	36.2	12.4	2	0	
31	46.2	120.6	241.8	255.6	195.6	83.6	40.2	13.6	2.8	0	
32	52.4	113.6	219.4	252.8	194.8	90.8	48.4	22.6	5	0.2	
33	42.8	118.2	205.4	255.2	194.6	107.4	47.6	21.4	6.8	0.6	
34	41	107	196.2	258.2	208.6	111.2	48.4	20.2	9	0.2	
35	41.6	95.6	183.8	247.4	218	122	61.4	20.2	9.6	0.4	
36	37	90.4	189.8	240.8	216.6	129.6	61.8	25	9	0	
37	33.6	75.4	182.4	240.4	225.8	136.2	65.4	31.2	9.4	0.2	
38	29	73.4	168	235	221.8	144	76	36.4	14	2.4	
39	22	64.8	175.2	219.6	220.4	156	80.4	39.4	17.6	4.6	
40	19.4	56.8	175.6	225.4	212.8	160.6	80.4	41.6	20.2	7.2	
41	17.4	59.6	171.2	215.8	212.2	158.6	86.6	44.8	23.6	10.2	
42	13.6	52	167.2	203.8	208.8	169.8	93.6	51.4	25.6	14.2	
43	13.4	42.8	164	200.6	206	170.4	103.4	56.8	28	14.6	
44	8.8	40.4	155.8	205.6	212	168	104	60.2	25	20.2	
45	10.2	31.4	148.6	187.6	209.8	166.4	118.2	66.2	35.2	26.4	
46	10.8	34.4	138.6	175.4	190.6	168.8	137.2	78	39.4	26.8	
47	11.6	32.2	135	164	179.2	165.4	148.8	86	46	31.8	
48	7.8	34.8	136.8	163.6	173.4	161.6	140.4	89.6	53	39	
49	4.4	34.8	131.8	161	174	155.8	141.4	94.8	60.6	41.4	
50	3	35.2	129.6	152.6	180.6	153.2	137.8	95.8	62	50.2	
51	3	22	123.6	163.8	185.8	146.4	132.6	102.6	63.6	56.6	
52	2.6	24	110.6	155.4	177.4	169	126.4	102.4	68.4	63.8	
53	1.6	18.4	95.2	156	180.8	170.4	120	111.4	73	73.2	
54	2.8	20	89	153.4	173.2	173.8	130	108	70.4	79.4	
55	2	20.8	83.2	142.2	171.4	166.8	134.8	113	76.4	89.4	
56	0.4	19.8	76	143.2	167.2	153.6	134.6	116.4	75.6	113.2	
