Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	155739982752330
1	0.104	3	0.319662	0.104	155739982752330
2	0.206	4	0.455592	0.102	155739982752330
3	0.301	4	0.555337	0.095	155739982752330
4	0.4	5	0.634035	0.099	155739982752330
5	0.491	6	0.688418	0.091	155739982752330
6	0.599	6	0.758419	0.108	155739982752330
7	0.671	5	0.794203	0.072	155739982752330
8	0.77	7	0.852115	0.099	155739982752330
9	0.896	6	0.895647	0.126	155739982752330
10	0.998	7	0.955508	0.102	155739982752330
11	1.116	7	1.00476	0.118	155739982752330
12	1.229	6	1.05667	0.113	155739982752330
13	1.306	7	1.08045	0.077	155739982752330
14	1.405	7	1.11489	0.099	155739982752330
15	1.489	8	1.16012	0.084	155739982752330
16	1.569	8	1.1909	0.08	155739982752330
17	1.681	7	1.20218	0.112	155739982752330
18	1.784	7	1.26821	0.103	155739982752330
19	1.907	8	1.32904	0.123	155739982752330
20	1.988	8	1.36925	0.081	155739982752330
21	2.079	8	1.36483	0.091	155739982752330
22	2.13	8	1.37299	0.051	155739982752330
23	2.217	8	1.38308	0.087	155739982752330
24	2.342	9	1.40856	0.125	155739982752330
25	2.452	9	1.43447	0.11	155739982752330
26	2.49	10	1.44115	0.038	155739982752330
27	2.541	9	1.44164	0.051	155739982752330
28	2.62	9	1.45348	0.079	155739982752330
29	2.767	9	1.46175	0.147	155739982752330
30	2.894	9	1.49658	0.127	155739982752330
31	2.927	9	1.52665	0.033	155739982752330
32	3.031	10	1.62759	0.104	155739982752330
33	3.101	10	1.6312	0.07	155739982752330
34	3.167	10	1.61991	0.066	155739982752330
35	3.274	10	1.64922	0.107	155739982752330
36	3.322	9	1.6463	0.048	155739982752330
37	3.43	10	1.64867	0.108	155739982752330
38	3.564	10	1.70731	0.134	155739982752330
39	3.671	10	1.73544	0.107	155739982752330
40	3.735	10	1.74979	0.064	155739982752330
41	3.8	10	1.80361	0.065	155739982752330
42	3.932	10	1.83122	0.132	155739982752330
43	4.019	10	1.84001	0.087	155739982752330
44	4.081	10	1.83833	0.062	155739982752330
45	4.251	10	1.90945	0.17	155739982752330
46	4.368	10	1.9513	0.117	155739982752330
47	4.485	10	2.00593	0.117	155739982752330
48	4.542	10	2.05724	0.057	155739982752330
49	4.622	10	2.07174	0.08	155739982752330
50	4.682	10	2.10045	0.06	155739982752330
51	4.765	10	2.09064	0.083	155739982752330
52	4.86	10	2.102	0.095	155739982752330
53	4.992	10	2.1007	0.132	155739982752330
54	5.032	10	2.11163	0.04	155739982752330
55	5.145	10	2.14266	0.113	155739982752330
56	5.279	10	2.19389	0.134	155739982752330
57	5.445	9	2.21833	0.166	155739982752330
58	5.528	9	2.20935	0.083	155739982752330
59	5.681	9	2.15435	0.153	155739982752330
60	5.795	9	2.18906	0.114	155739982752330
61	5.896	9	2.19868	0.101	155739982752330
62	5.958	9	2.16084	0.062	155739982752330
63	6.02	9	2.14956	0.062	155739982752330
64	6.125	9	2.13152	0.105	155739982752330
65	6.202	9	2.13335	0.077	155739982752330
66	6.225	9	2.14671	0.023	155739982752330
67	6.325	9	2.16226	0.1	155739982752330
68	6.411	9	2.16474	0.086	155739982752330
69	6.555	9	2.12532	0.144	155739982752330
70	6.663	9	2.14696	0.108	155739982752330
71	6.726	9	2.11209	0.063	155739982752330
72	6.896	9	2.08763	0.17	155739982752330
73	6.971	9	2.06183	0.075	155739982752330
74	7.063	9	2.03888	0.092	155739982752330
75	7.092	9	2.00612	0.029	155739982752330
76	7.208	9	1.97958	0.116	155739982752330
77	7.207	9	1.99603	-0.001	155739982752330
78	7.21	9	1.98517	0.003	155739982752330
79	7.246	9	1.95665	0.036	155739982752330
80	7.329	9	1.92218	0.083	155739982752330
81	7.331	9	1.91401	0.002	155739982752330
82	7.369	9	1.90705	0.038	155739982752330
83	7.445	9	1.88838	0.076	155739982752330
84	7.495	9	1.81851	0.05	155739982752330
85	7.488	9	1.84631	-0.007	155739982752330
86	7.591	9	1.79436	0.103	155739982752330
87	7.678	9	1.76531	0.087	155739982752330
88	7.735	9	1.71836	0.057	155739982752330
89	7.767	9	1.71193	0.032	155739982752330
90	7.82	8	1.66241	0.053	155739982752330
91	7.871	8	1.63626	0.051	155739982752330
92	7.919	8	1.64147	0.048	155739982752330
93	7.945	8	1.63981	0.026	155739982752330
94	7.985	8	1.64158	0.04	155739982752330
95	8.047	8	1.57917	0.062	155739982752330
96	8.056	8	1.5652	0.009	155739982752330
97	8.09	8	1.52411	0.034	155739982752330
98	8.107	8	1.51379	0.017	155739982752330
99	8.147	8	1.48101	0.04	155739982752330
100	8.205	8	1.43526	0.058	155739982752330
101	8.258	8	1.39012	0.053	155739982752330
102	8.308	7	1.31573	0.05	155739982752330
103	8.32	7	1.29677	0.012	155739982752330
104	8.327	7	1.31912	0.007	155739982752330
105	8.324	7	1.35868	-0.003	155739982752330
106	8.349	7	1.33686	0.025	155739982752330
107	8.353	7	1.33319	0.004	155739982752330
108	8.389	7	1.3018	0.036	155739982752330
109	8.411	7	1.29888	0.022	155739982752330
110	8.455	7	1.24739	0.044	155739982752330
111	8.462	7	1.23351	0.007	155739982752330
112	8.472	7	1.22606	0.01	155739982752330
113	8.485	7	1.22015	0.013	155739982752330
114	8.543	7	1.14068	0.058	155739982752330
115	8.567	7	1.10883	0.024	155739982752330
116	8.596	7	1.06573	0.029	155739982752330
117	8.618	7	1.05027	0.022	155739982752330
118	8.646	7	1.00831	0.028	155739982752330
119	8.653	7	0.985186	0.007	155739982752330
120	8.674	7	0.976588	0.021	155739982752330
121	8.689	7	0.98908	0.015	155739982752330
122	8.699	7	0.956765	0.01	155739982752330
123	8.678	7	0.965565	-0.021	155739982752330
124	8.701	7	0.956347	0.023	155739982752330
125	8.708	7	0.951702	0.007	155739982752330
126	8.72	7	0.948472	0.012	155739982752330
127	8.71	7	0.953362	-0.01	155739982752330
128	8.742	7	0.903568	0.032	155739982752330
129	8.761	7	0.871137	0.019	155739982752330
130	8.791	7	0.832658	0.03	155739982752330
131	8.792	7	0.824461	0.001	155739982752330
132	8.812	7	0.79728	0.02	155739982752330
133	8.827	7	0.78043	0.015	155739982752330
134	8.837	7	0.787039	0.01	155739982752330
135	8.826	7	0.836495	-0.011	155739982752330
136	8.823	7	0.826239	-0.003	155739982752330
137	8.807	7	0.871637	-0.016	155739982752330
138	8.819	7	0.845718	0.012	155739982752330
139	8.848	7	0.771943	0.029	155739982752330
140	8.846	7	0.780566	-0.002	155739982752330
141	8.861	7	0.765297	0.015	155739982752330
142	8.86	7	0.774209	-0.001	155739982752330
143	8.874	7	0.733569	0.014	155739982752330
144	8.872	7	0.720844	-0.002	155739982752330
145	8.879	7	0.715094	0.007	155739982752330
146	8.883	7	0.708739	0.004	155739982752330
147	8.877	7	0.74288	-0.006	155739982752330
148	8.853	7	0.800244	-0.024	155739982752330
149	8.844	7	0.827444	-0.009	155739982752330
150	8.843	7	0.80396	-0.001	155739982752330
151	8.868	7	0.730463	0.025	155739982752330
152	8.87	7	0.703633	0.002	155739982752330
153	8.872	7	0.694706	0.002	155739982752330
154	8.859	7	0.751744	-0.013	155739982752330
155	8.884	7	0.667491	0.025	155739982752330
156	8.898	7	0.621768	0.014	155739982752330
157	8.899	7	0.629126	0.001	155739982752330
158	8.897	7	0.644508	-0.002	155739982752330
159	8.899	7	0.637024	0.002	155739982752330
160	8.89	7	0.66174	-0.009	155739982752330
161	8.885	7	0.666164	-0.005	155739982752330
162	8.899	7	0.609753	0.014	155739982752330
163	8.895	7	0.631645	-0.004	155739982752330
164	8.908	7	0.586119	0.013	155739982752330
165	8.916	6	0.535672	0.008	155739982752330
166	8.922	6	0.526228	0.006	155739982752330
167	8.922	6	0.501912	0	155739982752330
168	8.925	6	0.482053	0.003	155739982752330
169	8.941	6	0.430719	0.016	155739982752330
170	8.943	6	0.439034	0.002	155739982752330
171	8.955	5	0.396201	0.012	155739982752330
172	8.968	5	0.322453	0.013	155739982752330
173	8.962	5	0.35715	-0.006	155739982752330
174	8.958	4	0.360882	-0.004	155739982752330
