Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	334035168108023
1	0.102	4	0.321863	0.102	334035168108023
2	0.207	5	0.456236	0.105	334035168108023
3	0.305	5	0.552245	0.098	334035168108023
4	0.405	6	0.632436	0.1	334035168108023
5	0.5	7	0.711337	0.095	334035168108023
6	0.607	7	0.775597	0.107	334035168108023
7	0.711	7	0.826123	0.104	334035168108023
8	0.812	7	0.883547	0.101	334035168108023
9	0.911	7	0.931708	0.099	334035168108023
10	1	7	0.979796	0.089	334035168108023
11	1.103	8	1.02586	0.103	334035168108023
12	1.22	9	1.08747	0.117	334035168108023
13	1.321	9	1.1287	0.101	334035168108023
14	1.435	9	1.18312	0.114	334035168108023
15	1.558	9	1.25005	0.123	334035168108023
16	1.65	9	1.28627	0.092	334035168108023
17	1.752	9	1.32193	0.102	334035168108023
18	1.853	10	1.3847	0.101	334035168108023
19	1.936	10	1.4117	0.083	334035168108023
20	2.027	10	1.43397	0.091	334035168108023
21	2.121	10	1.46163	0.094	334035168108023
22	2.198	10	1.48654	0.077	334035168108023
23	2.291	10	1.51536	0.093	334035168108023
24	2.399	10	1.54784	0.108	334035168108023
25	2.51	10	1.59025	0.111	334035168108023
26	2.604	10	1.61684	0.094	334035168108023
27	2.68	10	1.62684	0.076	334035168108023
28	2.773	10	1.65966	0.093	334035168108023
29	2.881	10	1.68221	0.108	334035168108023
30	2.991	10	1.71228	0.11	334035168108023
31	3.088	10	1.7301	0.097	334035168108023
32	3.215	10	1.76289	0.127	334035168108023
33	3.315	10	1.78907	0.1	334035168108023
34	3.423	10	1.81441	0.108	334035168108023
35	3.494	10	1.8458	0.071	334035168108023
36	3.595	10	1.85929	0.101	334035168108023
37	3.689	10	1.86072	0.094	334035168108023
38	3.779	10	1.89846	0.09	334035168108023
39	3.884	10	1.91952	0.105	334035168108023
40	3.994	10	1.95473	0.11	334035168108023
41	4.117	10	1.97087	0.123	334035168108023
42	4.23	10	2.00427	0.113	334035168108023
43	4.354	10	2.00691	0.124	334035168108023
44	4.436	10	2.01467	0.082	334035168108023
45	4.556	10	2.02876	0.12	334035168108023
46	4.653	10	2.05441	0.097	334035168108023
47	4.744	10	2.04315	0.091	334035168108023
48	4.814	10	2.05704	0.07	334035168108023
