Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	1827113733698289
1	0.102	4	0.317169	0.102	1827113733698289
2	0.202	5	0.449662	0.1	1827113733698289
3	0.297	5	0.545702	0.095	1827113733698289
4	0.4	7	0.637966	0.103	1827113733698289
5	0.496	7	0.710622	0.096	1827113733698289
6	0.585	7	0.778315	0.089	1827113733698289
7	0.687	7	0.836081	0.102	1827113733698289
8	0.793	7	0.899528	0.106	1827113733698289
9	0.885	8	0.954345	0.092	1827113733698289
10	0.985	8	1.00686	0.1	1827113733698289
11	1.091	8	1.05106	0.106	1827113733698289
12	1.201	8	1.10435	0.11	1827113733698289
13	1.309	9	1.16083	0.108	1827113733698289
14	1.41	10	1.20079	0.101	1827113733698289
15	1.505	10	1.22718	0.095	1827113733698289
16	1.599	9	1.24908	0.094	1827113733698289
17	1.69	10	1.27902	0.091	1827113733698289
18	1.798	10	1.31841	0.108	1827113733698289
19	1.891	10	1.34763	0.093	1827113733698289
20	1.998	11	1.39571	0.107	1827113733698289
21	2.094	12	1.43463	0.096	1827113733698289
22	2.208	12	1.47436	0.114	1827113733698289
23	2.298	13	1.51136	0.09	1827113733698289
24	2.389	12	1.5371	0.091	1827113733698289
25	2.51	13	1.59527	0.121	1827113733698289
26	2.615	14	1.63486	0.105	1827113733698289
27	2.722	14	1.66064	0.107	1827113733698289
28	2.82	14	1.69929	0.098	1827113733698289
29	2.912	14	1.72054	0.092	1827113733698289
30	2.988	15	1.7578	0.076	1827113733698289
31	3.078	15	1.79413	0.09	1827113733698289
32	3.169	16	1.83887	0.091	1827113733698289
33	3.286	16	1.89241	0.117	1827113733698289
34	3.418	16	1.91345	0.132	1827113733698289
35	3.534	16	1.96388	0.116	1827113733698289
36	3.638	16	1.96722	0.104	1827113733698289
37	3.735	16	1.98766	0.097	1827113733698289
38	3.849	17	2.03819	0.114	1827113733698289
39	3.942	16	2.05052	0.093	1827113733698289
40	4.038	17	2.09847	0.096	1827113733698289
41	4.142	16	2.10115	0.104	1827113733698289
42	4.259	17	2.16007	0.117	1827113733698289
43	4.386	16	2.1838	0.127	1827113733698289
44	4.51	17	2.21425	0.124	1827113733698289
45	4.609	17	2.23654	0.099	1827113733698289
46	4.726	17	2.26515	0.117	1827113733698289
47	4.801	17	2.27209	0.075	1827113733698289
48	4.884	16	2.26948	0.083	1827113733698289
49	4.978	16	2.30228	0.094	1827113733698289
50	5.085	18	2.31598	0.107	1827113733698289
51	5.199	18	2.33097	0.114	1827113733698289
52	5.303	18	2.34653	0.104	1827113733698289
53	5.452	17	2.40327	0.149	1827113733698289
54	5.497	18	2.39353	0.045	1827113733698289
55	5.607	19	2.44511	0.11	1827113733698289
56	5.716	18	2.44915	0.109	1827113733698289
57	5.852	18	2.49181	0.136	1827113733698289
58	5.937	18	2.50919	0.085	1827113733698289
59	6.043	18	2.54011	0.106	1827113733698289
60	6.16	19	2.54743	0.117	1827113733698289
61	6.278	19	2.56685	0.118	1827113733698289
62	6.386	20	2.58012	0.108	1827113733698289
63	6.451	19	2.6099	0.065	1827113733698289
64	6.514	21	2.65289	0.063	1827113733698289
65	6.598	20	2.64129	0.084	1827113733698289
66	6.707	20	2.64937	0.109	1827113733698289
67	6.803	19	2.66687	0.096	1827113733698289
68	6.913	20	2.71412	0.11	1827113733698289
69	7.02	21	2.74055	0.107	1827113733698289
70	7.129	21	2.73429	0.109	1827113733698289
71	7.248	21	2.75273	0.119	1827113733698289
72	7.321	21	2.78441	0.073	1827113733698289
73	7.424	21	2.78984	0.103	1827113733698289
74	7.543	22	2.80876	0.119	1827113733698289
75	7.641	22	2.81445	0.098	1827113733698289
76	7.748	22	2.84069	0.107	1827113733698289
77	7.847	22	2.88437	0.099	1827113733698289
78	7.948	22	2.91776	0.101	1827113733698289
79	8.041	23	2.90935	0.093	1827113733698289
80	8.176	23	2.91754	0.135	1827113733698289
81	8.286	22	2.91534	0.11	1827113733698289
82	8.373	22	2.92709	0.087	1827113733698289
83	8.444	23	2.95734	0.071	1827113733698289
84	8.53	23	2.97861	0.086	1827113733698289
85	8.643	22	2.99943	0.113	1827113733698289
86	8.772	22	3.02341	0.129	1827113733698289
87	8.838	22	3.03459	0.066	1827113733698289
88	8.915	22	3.05447	0.077	1827113733698289
89	9.026	22	3.02346	0.111	1827113733698289
90	9.135	22	3.07567	0.109	1827113733698289
91	9.202	23	3.09777	0.067	1827113733698289
92	9.37	22	3.13642	0.168	1827113733698289
93	9.479	22	3.15984	0.109	1827113733698289
94	9.592	22	3.1968	0.113	1827113733698289
95	9.712	22	3.2229	0.12	1827113733698289
96	9.767	21	3.21476	0.055	1827113733698289
97	9.879	22	3.20318	0.112	1827113733698289
98	9.96	22	3.22233	0.081	1827113733698289
99	10.019	22	3.24294	0.059	1827113733698289
100	10.168	22	3.25895	0.149	1827113733698289
101	10.226	23	3.24606	0.058	1827113733698289
102	10.288	21	3.23513	0.062	1827113733698289
103	10.372	21	3.22531	0.084	1827113733698289
104	10.437	22	3.22382	0.065	1827113733698289
105	10.513	22	3.25328	0.076	1827113733698289
106	10.614	22	3.25853	0.101	1827113733698289
107	10.734	22	3.30064	0.12	1827113733698289
108	10.807	23	3.32096	0.073	1827113733698289
109	10.93	22	3.34352	0.123	1827113733698289
110	11.002	23	3.35112	0.072	1827113733698289
111	11.108	23	3.38354	0.106	1827113733698289
112	11.181	22	3.37642	0.073	1827113733698289
113	11.271	22	3.42046	0.09	1827113733698289
114	11.377	23	3.43888	0.106	1827113733698289
115	11.47	23	3.45096	0.093	1827113733698289
116	11.542	24	3.44024	0.072	1827113733698289
117	11.68	25	3.47888	0.138	1827113733698289
118	11.806	25	3.52042	0.126	1827113733698289
119	11.942	24	3.48606	0.136	1827113733698289
120	12.001	24	3.502	0.059	1827113733698289
121	12.076	23	3.51358	0.075	1827113733698289
122	12.166	24	3.52285	0.09	1827113733698289
123	12.291	24	3.5116	0.125	1827113733698289
124	12.353	23	3.52979	0.062	1827113733698289
125	12.441	23	3.53405	0.088	1827113733698289
126	12.523	23	3.54901	0.082	1827113733698289
127	12.573	23	3.5328	0.05	1827113733698289
128	12.654	24	3.54532	0.081	1827113733698289
129	12.755	23	3.56216	0.101	1827113733698289
130	12.865	23	3.55454	0.11	1827113733698289
131	12.927	23	3.54326	0.062	1827113733698289
132	13.012	23	3.56453	0.085	1827113733698289
133	13.128	23	3.55354	0.116	1827113733698289
134	13.22	23	3.54212	0.092	1827113733698289
135	13.277	23	3.57621	0.057	1827113733698289
136	13.381	23	3.59136	0.104	1827113733698289
137	13.443	23	3.59274	0.062	1827113733698289
138	13.564	24	3.57853	0.121	1827113733698289
139	13.612	23	3.56531	0.048	1827113733698289
140	13.67	23	3.5647	0.058	1827113733698289
141	13.75	23	3.60007	0.08	1827113733698289
142	13.812	23	3.60412	0.062	1827113733698289
143	13.924	23	3.59252	0.112	1827113733698289
144	13.981	23	3.59049	0.057	1827113733698289
145	14.082	24	3.57593	0.101	1827113733698289
146	14.16	24	3.58279	0.078	1827113733698289
147	14.235	24	3.59802	0.075	1827113733698289
148	14.288	24	3.60708	0.053	1827113733698289
149	14.386	24	3.61621	0.098	1827113733698289
150	14.472	24	3.60627	0.086	1827113733698289
151	14.564	24	3.59387	0.092	1827113733698289
152	14.638	23	3.63469	0.074	1827113733698289
