Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	396893401975172
1	0.096	4	0.30949	0.096	396893401975172
2	0.196	4	0.441117	0.1	396893401975172
3	0.29	5	0.53376	0.094	396893401975172
4	0.383	6	0.612626	0.093	396893401975172
5	0.476	5	0.668898	0.093	396893401975172
6	0.557	5	0.713968	0.081	396893401975172
7	0.629	6	0.748571	0.072	396893401975172
8	0.712	6	0.786165	0.083	396893401975172
9	0.787	6	0.815862	0.075	396893401975172
10	0.85	7	0.835165	0.063	396893401975172
11	0.914	7	0.848295	0.064	396893401975172
12	0.976	7	0.8628	0.062	396893401975172
13	1.027	7	0.87594	0.051	396893401975172
14	1.076	7	0.878194	0.049	396893401975172
15	1.118	7	0.87697	0.042	396893401975172
16	1.176	8	0.889957	0.058	396893401975172
17	1.21	8	0.887074	0.034	396893401975172
18	1.249	8	0.876356	0.039	396893401975172
19	1.284	8	0.879968	0.035	396893401975172
20	1.313	8	0.891084	0.029	396893401975172
21	1.338	9	0.898752	0.025	396893401975172
22	1.39	8	0.892132	0.052	396893401975172
23	1.419	8	0.889066	0.029	396893401975172
24	1.46	10	0.899111	0.041	396893401975172
25	1.492	9	0.885966	0.032	396893401975172
26	1.527	9	0.898483	0.035	396893401975172
27	1.55	9	0.915696	0.023	396893401975172
28	1.582	9	0.933422	0.032	396893401975172
29	1.612	10	0.970802	0.03	396893401975172
30	1.634	10	0.975727	0.022	396893401975172
31	1.653	10	0.98417	0.019	396893401975172
32	1.683	10	1.01514	0.03	396893401975172
33	1.718	10	1.03898	0.035	396893401975172
34	1.73	10	1.02377	0.012	396893401975172
35	1.738	11	1.03168	0.008	396893401975172
36	1.766	11	1.04606	0.028	396893401975172
37	1.792	11	1.06101	0.026	396893401975172
38	1.823	11	1.08797	0.031	396893401975172
39	1.864	11	1.11018	0.041	396893401975172
40	1.876	11	1.11473	0.012	396893401975172
41	1.915	12	1.16866	0.039	396893401975172
42	1.938	11	1.20048	0.023	396893401975172
43	1.958	12	1.23824	0.02	396893401975172
44	1.99	13	1.27275	0.032	396893401975172
45	2.04	13	1.33619	0.05	396893401975172
46	2.07	13	1.37263	0.03	396893401975172
47	2.098	13	1.4005	0.028	396893401975172
48	2.103	13	1.41435	0.005	396893401975172
49	2.133	13	1.47422	0.03	396893401975172
50	2.155	13	1.52019	0.022	396893401975172
51	2.188	14	1.56642	0.033	396893401975172
52	2.221	15	1.61188	0.033	396893401975172
53	2.262	15	1.67253	0.041	396893401975172
54	2.277	15	1.6933	0.015	396893401975172
55	2.314	15	1.75482	0.037	396893401975172
56	2.365	15	1.84113	0.051	396893401975172
57	2.424	15	1.92021	0.059	396893401975172
58	2.501	15	2.01718	0.077	396893401975172
59	2.58	15	2.103	0.079	396893401975172
60	2.636	15	2.18598	0.056	396893401975172
61	2.693	15	2.2436	0.057	396893401975172
62	2.752	15	2.31614	0.059	396893401975172
63	2.83	15	2.38665	0.078	396893401975172
64	2.9	15	2.45906	0.07	396893401975172
65	2.968	15	2.52031	0.068	396893401975172
66	3.038	15	2.61793	0.07	396893401975172
67	3.152	15	2.71807	0.114	396893401975172
68	3.223	15	2.78393	0.071	396893401975172
69	3.311	15	2.88501	0.088	396893401975172
70	3.377	15	2.95413	0.066	396893401975172
71	3.494	15	3.05908	0.117	396893401975172
72	3.605	15	3.15689	0.111	396893401975172
73	3.703	15	3.2408	0.098	396893401975172
74	3.816	15	3.34711	0.113	396893401975172
75	3.951	15	3.44842	0.135	396893401975172
76	4.037	15	3.52869	0.086	396893401975172
77	4.15	15	3.62319	0.113	396893401975172
78	4.311	15	3.72791	0.161	396893401975172
79	4.404	15	3.77899	0.093	396893401975172
80	4.55	15	3.8513	0.146	396893401975172
81	4.632	15	3.90686	0.082	396893401975172
82	4.738	15	3.95327	0.106	396893401975172
83	4.879	15	4.02956	0.141	396893401975172
84	5.01	15	4.10316	0.131	396893401975172
85	5.129	15	4.14926	0.119	396893401975172
86	5.247	15	4.19535	0.118	396893401975172
87	5.423	15	4.26252	0.176	396893401975172
88	5.558	15	4.30913	0.135	396893401975172
89	5.707	15	4.36293	0.149	396893401975172
90	5.826	15	4.39622	0.119	396893401975172
91	5.953	15	4.42942	0.127	396893401975172
92	6.119	15	4.46216	0.166	396893401975172
