Time	Displacement	BinCount	Variance	Velocity	Label
0	0	1	0	0	1303482587105654
1	0.01	2	0.0994987	0.01	1303482587105654
2	0.018	3	0.132951	0.008	1303482587105654
3	0.029	3	0.17076	0.011	1303482587105654
4	0.039	3	0.196161	0.01	1303482587105654
5	0.048	3	0.218394	0.009	1303482587105654
6	0.057	3	0.236116	0.009	1303482587105654
7	0.065	3	0.254509	0.008	1303482587105654
8	0.073	3	0.269576	0.008	1303482587105654
9	0.085	4	0.291161	0.012	1303482587105654
10	0.098	4	0.312083	0.013	1303482587105654
11	0.108	4	0.329144	0.01	1303482587105654
12	0.118	4	0.343622	0.01	1303482587105654
13	0.127	4	0.35619	0.009	1303482587105654
14	0.136	4	0.365382	0.009	1303482587105654
15	0.146	4	0.376409	0.01	1303482587105654
16	0.152	4	0.38587	0.006	1303482587105654
17	0.165	4	0.404691	0.013	1303482587105654
18	0.172	4	0.412815	0.007	1303482587105654
19	0.18	5	0.424971	0.008	1303482587105654
20	0.192	5	0.438333	0.012	1303482587105654
21	0.204	5	0.453193	0.012	1303482587105654
22	0.22	5	0.470744	0.016	1303482587105654
23	0.234	5	0.483988	0.014	1303482587105654
24	0.24	5	0.488262	0.006	1303482587105654
25	0.247	5	0.495975	0.007	1303482587105654
26	0.256	5	0.503452	0.009	1303482587105654
27	0.269	5	0.516371	0.013	1303482587105654
28	0.279	5	0.525508	0.01	1303482587105654
29	0.288	5	0.536708	0.009	1303482587105654
30	0.297	5	0.546618	0.009	1303482587105654
31	0.301	5	0.548998	0.004	1303482587105654
32	0.307	5	0.552043	0.006	1303482587105654
33	0.318	5	0.559353	0.011	1303482587105654
34	0.326	5	0.568088	0.008	1303482587105654
35	0.334	5	0.575712	0.008	1303482587105654
36	0.343	5	0.581679	0.009	1303482587105654
37	0.35	5	0.589491	0.007	1303482587105654
38	0.36	5	0.596154	0.01	1303482587105654
39	0.375	5	0.609405	0.015	1303482587105654
40	0.389	5	0.619418	0.014	1303482587105654
41	0.4	5	0.62849	0.011	1303482587105654
42	0.412	5	0.639731	0.012	1303482587105654
43	0.418	5	0.643643	0.006	1303482587105654
44	0.42	5	0.646993	0.002	1303482587105654
45	0.426	5	0.653088	0.006	1303482587105654
46	0.44	5	0.665132	0.014	1303482587105654
47	0.431	5	0.661241	-0.009	1303482587105654
48	0.438	5	0.668697	0.007	1303482587105654
49	0.451	5	0.677937	0.013	1303482587105654
50	0.466	5	0.687637	0.015	1303482587105654
51	0.473	5	0.690124	0.007	1303482587105654
52	0.48	5	0.700428	0.007	1303482587105654
53	0.483	5	0.702646	0.003	1303482587105654
54	0.489	5	0.705605	0.006	1303482587105654
55	0.504	5	0.716229	0.015	1303482587105654
56	0.523	5	0.729706	0.019	1303482587105654
57	0.526	5	0.733706	0.003	1303482587105654
58	0.543	5	0.743741	0.017	1303482587105654
59	0.556	5	0.752239	0.013	1303482587105654
60	0.565	5	0.756819	0.009	1303482587105654
61	0.577	5	0.760967	0.012	1303482587105654
62	0.589	5	0.769467	0.012	1303482587105654
63	0.602	5	0.776271	0.013	1303482587105654
64	0.612	5	0.783234	0.01	1303482587105654
65	0.62	5	0.785239	0.008	1303482587105654
66	0.635	5	0.793584	0.015	1303482587105654
67	0.649	5	0.801124	0.014	1303482587105654
68	0.659	5	0.803566	0.01	1303482587105654
69	0.665	5	0.807326	0.006	1303482587105654
70	0.681	5	0.820511	0.016	1303482587105654
71	0.693	5	0.826892	0.012	1303482587105654
72	0.7	5	0.836062	0.007	1303482587105654
73	0.709	5	0.837448	0.009	1303482587105654
74	0.711	5	0.839332	0.002	1303482587105654
75	0.716	5	0.846962	0.005	1303482587105654
76	0.73	5	0.853874	0.014	1303482587105654
77	0.74	5	0.856971	0.01	1303482587105654
78	0.746	5	0.861675	0.006	1303482587105654
79	0.745	5	0.857307	-0.001	1303482587105654
80	0.754	5	0.861675	0.009	1303482587105654
81	0.76	5	0.861046	0.006	1303482587105654
82	0.77	5	0.866083	0.01	1303482587105654
83	0.768	5	0.863236	-0.002	1303482587105654
84	0.783	5	0.870006	0.015	1303482587105654
85	0.792	5	0.875063	0.009	1303482587105654
86	0.801	5	0.881135	0.009	1303482587105654
87	0.816	5	0.884954	0.015	1303482587105654
88	0.828	5	0.895218	0.012	1303482587105654
89	0.835	5	0.89486	0.007	1303482587105654
90	0.85	5	0.90305	0.015	1303482587105654
91	0.855	5	0.907731	0.005	1303482587105654
92	0.871	5	0.913433	0.016	1303482587105654
93	0.88	5	0.923905	0.009	1303482587105654
94	0.892	5	0.92322	0.012	1303482587105654
95	0.9	5	0.927362	0.008	1303482587105654
96	0.914	5	0.927687	0.014	1303482587105654
97	0.909	5	0.926671	-0.005	1303482587105654
98	0.919	5	0.931364	0.01	1303482587105654
99	0.935	5	0.935829	0.016	1303482587105654
100	0.948	5	0.943025	0.013	1303482587105654
101	0.972	5	0.948797	0.024	1303482587105654
102	0.976	5	0.947852	0.004	1303482587105654
103	0.987	5	0.956468	0.011	1303482587105654
104	0.999	5	0.962808	0.012	1303482587105654
105	1.004	5	0.968496	0.005	1303482587105654
106	1.014	5	0.972525	0.01	1303482587105654
107	1.024	5	0.981542	0.01	1303482587105654
108	1.038	5	0.992248	0.014	1303482587105654
109	1.049	5	0.991766	0.011	1303482587105654
110	1.065	5	1.00488	0.016	1303482587105654
111	1.083	5	1.01346	0.018	1303482587105654
112	1.091	5	1.0177	0.008	1303482587105654
113	1.102	5	1.02254	0.011	1303482587105654
114	1.117	5	1.02631	0.015	1303482587105654
